id,text,text-fixed
45_UK_UK_Approved_Document_7,CE marking under other EU directives and regulations 1.8 Products may have CE marking under European legislation such as the Gas Appliances Directive or the Pressure Equipment Directive.,CE marking under other EU directives and regulations 1.8 Products may have CE marking under European legislation such as the Gas Appliances Directive or the Pressure Equipment Directive.
46_UK_UK_Approved_Document_7,"Such CE marking shows that the product meets the essential requirements set out in the legislation – for example, minimum safety requirements – and can be placed on the EU market.","Such CE marking shows that the product meets the essential requirements set out in the legislation – for example, minimum safety requirements – and can be placed on the EU market."
48_UK_UK_Approved_Document_7,7ONLINE VERSIONONLINE VERSION 1.9 Some products have CE marking in accordance with both the Construction Products Regulation and other legislation.,Some products have CE marking in accordance with both the Construction Products Regulation and other legislation.
49_UK_UK_Approved_Document_7,The CE marking shows that the product complies with the requirements in all relevant EU legislation.,The CE marking shows that the product complies with the requirements in all relevant EU legislation.
51_UK_UK_Approved_Document_7,Nearly all British Standards for construction products are the British versions of harmonised European standards used for CE marking.,Nearly all British Standards for construction products are the British versions of harmonised European standards used for CE marking.
52_UK_UK_Approved_Document_7,"The BSI numbering policy is to adopt the CEN numbering, prefaced with BS, e.g. BS EN 197-1:2000.","The BSI numbering policy is to adopt the CEN numbering, prefaced with BS, e.g. BS EN 197-1:2000."
53_UK_UK_Approved_Document_7,"Some British Standards are the British version of non-harmonised European standards; these also adopt the CEN numbering, prefaced with BS.","Some British Standards are the British version of non-harmonised European standards; these also adopt the CEN numbering, prefaced with BS."
54_UK_UK_Approved_Document_7,"These do not contain an Annex ZA, so CE marking cannot be affixed to products made to these standards.","These do not contain an Annex ZA, so CE marking cannot be affixed to products made to these standards."
55_UK_UK_Approved_Document_7,Some British Standards for products not covered by a European standard will continue to exist.,Some British Standards for products not covered by a European standard will continue to exist.
56_UK_UK_Approved_Document_7,"Where a construction product has been made and assessed in accordance with one or more British Standards referred to in 1.11 and 1.12, this may show whether the product is suitable for its intended use.","Where a construction product has been made and assessed in accordance with one or more British Standards referred to in 1.11 and 1.12, this may show whether the product is suitable for its intended use."
58_UK_UK_Approved_Document_7,"An international technical specification, including those prepared by ISO, or a national technical specification of a country other than the UK, may be used to demonstrate that a product not covered by a harmonised European standard meets the performance requirements of the Building Regulations.","An international technical specification, including those prepared by ISO, or a national technical specification of a country other than the UK, may be used to demonstrate that a product not covered by a harmonised European standard meets the performance requirements of the Building Regulations."
59_UK_UK_Approved_Document_7,"Where necessary, the person who intends to carry out the work should obtain translations of specifications and demonstrate how the material meets the requirements of regulation 7. NOTE:","Where necessary, the person who intends to carry out the work should obtain translations of specifications and demonstrate how the material meets the requirements of regulation 7. NOTE:"
60_UK_UK_Approved_Document_7,"The national technical specifications of EU member states (and non-EU countries that are full members of CEN) are being progressively replaced by harmonised European standards, as is the case with British Standards.","The national technical specifications of EU member states (and non-EU countries that are full members of CEN) are being progressively replaced by harmonised European standards, as is the case with British Standards."
62_UK_UK_Approved_Document_7,There are many independent product certification schemes in the UK and elsewhere that may provide information on the performance of a product.,There are many independent product certification schemes in the UK and elsewhere that may provide information on the performance of a product.
63_UK_UK_Approved_Document_7,Such schemes certify that a material complies with the requirements of a recognised document and indicates it is suitable for its intended purpose and use.,Such schemes certify that a material complies with the requirements of a recognised document and indicates it is suitable for its intended purpose and use.
64_UK_UK_Approved_Document_7,"These may be in addition to, but not conflict with, CE marking.","These may be in addition to, but not conflict with, CE marking."
66_UK_UK_Approved_Document_7,Materials which are not certified by an independent scheme might still conform to a relevant standard.,Materials which are not certified by an independent scheme might still conform to a relevant standard.
67_UK_UK_Approved_Document_7,Accreditation of a certification body by a national accreditation body belonging to the European co-operation for Accreditation (EA) provides a means of demonstrating that their certification scheme can be relied upon.,Accreditation of a certification body by a national accreditation body belonging to the European co-operation for Accreditation (EA) provides a means of demonstrating that their certification scheme can be relied upon.
68_UK_UK_Approved_Document_7,"In the UK, most independent certification bodies are accredited by the United Kingdom Accreditation Service (UKAS), which belongs to the EA.","In the UK, most independent certification bodies are accredited by the United Kingdom Accreditation Service (UKAS), which belongs to the EA."
69_UK_UK_Approved_Document_7,"It is important to check the scope of the accreditation of a certification body, as accreditation might cover only part of the certification body’s testing or certification business.","It is important to check the scope of the accreditation of a certification body, as accreditation might cover only part of the certification body’s testing or certification business."
71_UK_UK_Approved_Document_7,"Where there is no relevant harmonised European standard, tests, calculations or other means may be used to demonstrate that the material can perform the function for which it is intended.","Where there is no relevant harmonised European standard, tests, calculations or other means may be used to demonstrate that the material can perform the function for which it is intended."
72_UK_UK_Approved_Document_7,UKAS or an equivalent national accreditation body belonging to the EA may accredit the testing laboratories; this accreditation provides a means of showing that tests can be relied on.,UKAS or an equivalent national accreditation body belonging to the EA may accredit the testing laboratories; this accreditation provides a means of showing that tests can be relied on.
76_UK_UK_Approved_Document_7,"Past experience, such as use in an existing building, may show that the material can perform the function for which it is intended.","Past experience, such as use in an existing building, may show that the material can perform the function for which it is intended."
78_UK_UK_Approved_Document_7,"Under regulation 46 of the Building Regulations, local authorities have the power to take samples as necessary to establish whether materials to be used in building work comply with the provisions of the regulations.","Under regulation 46 of the Building Regulations, local authorities have the power to take samples as necessary to establish whether materials to be used in building work comply with the provisions of the regulations."
79_UK_UK_Approved_Document_7,Regulation 46 does not apply to any work specified in an initial notice or to any work for which a final certificate has been given by an approved inspector and accepted by the local authority.,Regulation 46 does not apply to any work specified in an initial notice or to any work for which a final certificate has been given by an approved inspector and accepted by the local authority.
81_UK_UK_Approved_Document_7,"Regulations 2010 provides that an approved inspector, having given an initial notice which continues to be in force, may take samples of material as are reasonable to establish within the limits of professional skill and care that regulation 7 of the Building Regulations or any other applicable regulations are complied with.","Regulations 2010 provides that an approved inspector, having given an initial notice which continues to be in force, may take samples of material as are reasonable to establish within the limits of professional skill and care that regulation 7 of the Building Regulations or any other applicable regulations are complied with."
83_UK_UK_Approved_Document_7,"Some materials, in the absence of special care, may be considered unsuitable because of their rapid deterioration in relation to the expected life of the building.","Some materials, in the absence of special care, may be considered unsuitable because of their rapid deterioration in relation to the expected life of the building."
84_UK_UK_Approved_Document_7,"A short-lived material which is readily accessible for inspection, maintenance and replacement may meet the requirements of the regulations if the consequences of failure are not likely to be serious to the health or safety of people in and around the building.","A short-lived material which is readily accessible for inspection, maintenance and replacement may meet the requirements of the regulations if the consequences of failure are not likely to be serious to the health or safety of people in and around the building."
85_UK_UK_Approved_Document_7,"If a short-lived material is not readily accessible for inspection, maintenance and replacement, and the consequences of failure are likely to be serious for health or safety, it is unlikely that the material will meet the requirements of the regulations.","If a short-lived material is not readily accessible for inspection, maintenance and replacement, and the consequences of failure are likely to be serious for health or safety, it is unlikely that the material will meet the requirements of the regulations."
86_UK_UK_Approved_Document_7,"As noted in paragraph 0.2, local authorities have the power to impose conditions on the use of short-lived materials.","As noted in paragraph 0.2, local authorities have the power to impose conditions on the use of short-lived materials."
88_UK_UK_Approved_Document_7,The properties of some materials can change in certain environmental conditions.,The properties of some materials can change in certain environmental conditions.
89_UK_UK_Approved_Document_7,These changes can affect the performance of the materials over time.,These changes can affect the performance of the materials over time.
90_UK_UK_Approved_Document_7,"Materials that are susceptible to changes in their properties may be used in building work and will meet the requirements of the regulations if the residual properties, including the structural properties, meet both of the following conditions.","Materials that are susceptible to changes in their properties may be used in building work and will meet the requirements of the regulations if the residual properties, including the structural properties, meet both of the following conditions."
91_UK_UK_Approved_Document_7,Residual properties can be estimated at the time of their incorporation in the work.,Residual properties can be estimated at the time of their incorporation in the work.
92_UK_UK_Approved_Document_7,"Residual properties are shown to be adequate for the building to perform the function for which it is intended, for the expected life of the building.","Residual properties are shown to be adequate for the building to perform the function for which it is intended, for the expected life of the building."
94_UK_UK_Approved_Document_7,-combustible materials in external walls of tall buildings 1.28 C70The Building Regulations restrict the use of combustible materials in the external walls of certain buildings over 18m in height.C70,The Building Regulations restrict the use of combustible materials in the external walls of certain buildings over 18m in height.
95_UK_UK_Approved_Document_7,"Refer to regulation 7(2) of the Building Regulations and to Approved Document B: volume 2, part B4 for details.","Refer to regulation 7(2) of the Building Regulations and to Approved Document B: volume 2, part B4 for details."
100_UK_UK_Approved_Document_7,Examples of ways to establish the adequacy of workmanship are described in paragraphs 2.2 to 2.11.,Examples of ways to establish the adequacy of workmanship are described in paragraphs 2.2 to 2.11.
102_UK_UK_Approved_Document_7,"If a material has CE marking, workmanship may be specified in the relevant European Technical Assessment or harmonised product standard.","If a material has CE marking, workmanship may be specified in the relevant European Technical Assessment or harmonised product standard."
104_UK_UK_Approved_Document_7,Methods of carrying out different types of work are also given in British Standards or other appropriate technical specifications.,Methods of carrying out different types of work are also given in British Standards or other appropriate technical specifications.
106_UK_UK_Approved_Document_7,The BS 8000 series of standards on workmanship on building sites combines guidance from other BSI codes and standards.,The BS 8000 series of standards on workmanship on building sites combines guidance from other BSI codes and standards.
107_UK_UK_Approved_Document_7,The various parts of BS 8000 are listed in appendix B.,The various parts of BS 8000 are listed in appendix B.
109_UK_UK_Approved_Document_7,Some independent certification schemes specify how workmanship will deliver a declared level of performance.,Some independent certification schemes specify how workmanship will deliver a declared level of performance.
110_UK_UK_Approved_Document_7,The person carrying out the work should show that the workmanship will provide the appropriate level of protection and performance.,The person carrying out the work should show that the workmanship will provide the appropriate level of protection and performance.
111_UK_UK_Approved_Document_7,"Schemes, including competent person self-certification schemes, that register installers of materials can provide a means of ensuring that work has been carried out by knowledgeable contractors to appropriate standards.","Schemes, including competent person self-certification schemes, that register installers of materials can provide a means of ensuring that work has been carried out by knowledgeable contractors to appropriate standards."
113_UK_UK_Approved_Document_7,"The quality of workmanship is covered by a quality management scheme, such as one that complies with the relevant recommendations of BS EN ISO 9000 and related series of standards.","The quality of workmanship is covered by a quality management scheme, such as one that complies with the relevant recommendations of BS EN ISO 9000 and related series of standards."
114_UK_UK_Approved_Document_7,There are a number of such UKAS-accredited schemes.,There are a number of such UKAS-accredited schemes.
116_UK_UK_Approved_Document_7,"Past experience, such as use in an existing building, may show that workmanship is appropriate for the function for which it is intended.","Past experience, such as use in an existing building, may show that workmanship is appropriate for the function for which it is intended."
117_UK_UK_Approved_Document_7,Tests 2.8 Tests can be used to show that workmanship is appropriate.,Tests 2.8 Tests can be used to show that workmanship is appropriate.
118_UK_UK_Approved_Document_7,"In the following three instances, the Building Regulations require those carrying out building work to have testing carried out to demonstrate compliance.","In the following three instances, the Building Regulations require those carrying out building work to have testing carried out to demonstrate compliance."
119_UK_UK_Approved_Document_7,Sound insulation as described in regulation 41.,Sound insulation as described in regulation 41.
120_UK_UK_Approved_Document_7,Air flow rate of mechanical ventilation as described in regulation 42.,Air flow rate of mechanical ventilation as described in regulation 42.
121_UK_UK_Approved_Document_7,Pressure testing as described in regulation 43.,Pressure testing as described in regulation 43.
124_UK_UK_Approved_Document_7,"Regulations 2010 and section 33 of the Building Act 1984, building control bodies have powers to make tests as they consider necessary to establish whether building work complies with the requirements of regulation 7. 2.11 Those carrying out building work may voluntarily include testing in the activities they carry out to demonstrate that the work complies with the requirements of the regulations.","Regulations 2010 and section 33 of the Building Act 1984, building control bodies have powers to make tests as they consider necessary to establish whether building work complies with the requirements of regulation 7. 2.11 Those carrying out building work may voluntarily include testing in the activities they carry out to demonstrate that the work complies with the requirements of the regulations."
128_UK_UK_Approved_Document_7,The following are key terms used in this document:,The following are key terms used in this document:
129_UK_UK_Approved_Document_7,BSI The British Standards Institution is the UK national standards body.,BSI The British Standards Institution is the UK national standards body.
130_UK_UK_Approved_Document_7,BSI publishes European standards in the UK as BS EN.,BSI publishes European standards in the UK as BS EN.
131_UK_UK_Approved_Document_7,Further information is available at: www.bsigroup.co.uk Building control body A local authority or an approved inspector.,Further information is available at: www.bsigroup.co.uk Building control body A local authority or an approved inspector.
132_UK_UK_Approved_Document_7,CEN The Comité Européen de Normalisation is the European standards body that prepares harmonised European product standards.,CEN The Comité Européen de Normalisation is the European standards body that prepares harmonised European product standards.
133_UK_UK_Approved_Document_7,Declarations of performance against such standards should provide sufficient information for any member state to allow the product onto its market and for specifiers and users to be able to assess whether the product is suitable for its intended use.,Declarations of performance against such standards should provide sufficient information for any member state to allow the product onto its market and for specifiers and users to be able to assess whether the product is suitable for its intended use.
134_UK_UK_Approved_Document_7,"CEN also prepares non-harmonised European standards, such as test or calculation standards and standards for products or services that have not been mandated under a CE Marking Directive.","CEN also prepares non-harmonised European standards, such as test or calculation standards and standards for products or services that have not been mandated under a CE Marking Directive."
135_UK_UK_Approved_Document_7,"CEN does not issue standards directly, only through national standards bodies; BSI is the designated standards body for the UK.","CEN does not issue standards directly, only through national standards bodies; BSI is the designated standards body for the UK."
137_UK_UK_Approved_Document_7,EA The European co-operation for Accreditation is the umbrella organisation for all national accreditation bodies in Europe.,EA The European co-operation for Accreditation is the umbrella organisation for all national accreditation bodies in Europe.
138_UK_UK_Approved_Document_7,"Product certification bodies, inspection bodies and test laboratories approved by national accreditation bodies belonging to EA are equivalent to those approved by UKAS.","Product certification bodies, inspection bodies and test laboratories approved by national accreditation bodies belonging to EA are equivalent to those approved by UKAS."
141_UK_UK_Approved_Document_7,European Technical Assessments A favourable technical assessment issued under the European Construction Products Regulation 2011 that allows a manufacturer to affix CE markings on their products.,European Technical Assessments A favourable technical assessment issued under the European Construction Products Regulation 2011 that allows a manufacturer to affix CE markings on their products.
143_UK_UK_Approved_Document_7,ISO The International Organization for Standardization is the worldwide federation of national standards institutions.,ISO The International Organization for Standardization is the worldwide federation of national standards institutions.
144_UK_UK_Approved_Document_7,Standards are identified by ‘ISO’ and a number.,Standards are identified by ‘ISO’ and a number.
145_UK_UK_Approved_Document_7,ISO standards may be published separately or transposed into the UK as BS ISO or BS EN ISO.,ISO standards may be published separately or transposed into the UK as BS ISO or BS EN ISO.
147_UK_UK_Approved_Document_7,"Materials Materials include manufactured products such as components, fittings, items of equipment and systems; naturally occurring materials such as stone, timber and thatch; and backfilling for excavations in connection with building work.","Materials Materials include manufactured products such as components, fittings, items of equipment and systems; naturally occurring materials such as stone, timber and thatch; and backfilling for excavations in connection with building work."
148_UK_UK_Approved_Document_7,NANDO New Approach Notified and Designated Organisations is an information system produced by the European Commission.,NANDO New Approach Notified and Designated Organisations is an information system produced by the European Commission.
149_UK_UK_Approved_Document_7,It lists the harmonised European standards and the bodies notified by member states to carry out conformity assessment tasks for CE marking.,It lists the harmonised European standards and the bodies notified by member states to carry out conformity assessment tasks for CE marking.
152_UK_UK_Approved_Document_7,"UKAS The United Kingdom Accreditation Service is the sole national accreditation body recognised by the UK government to assess, against internationally agreed standards, organisations that provide certification, testing, inspection and calibration services.","UKAS The United Kingdom Accreditation Service is the sole national accreditation body recognised by the UK government to assess, against internationally agreed standards, organisations that provide certification, testing, inspection and calibration services."
153_UK_UK_Approved_Document_7,"Accreditation by UKAS demonstrates the competence, impartiality and performance capability of these organisations.","Accreditation by UKAS demonstrates the competence, impartiality and performance capability of these organisations."
158_UK_UK_Approved_Document_7,BS 8000-9 Workmanship on building sites.,BS 8000-9 Workmanship on building sites.
159_UK_UK_Approved_Document_7,Cementitious levelling screeds and wearing screeds.,Cementitious levelling screeds and wearing screeds.
161_UK_UK_Approved_Document_7,BS 8000-11 Workmanship on building sites.,BS 8000-11 Workmanship on building sites.
162_UK_UK_Approved_Document_7,Internal and external wall and floor tiling.,Internal and external wall and floor tiling.
163_UK_UK_Approved_Document_7,"Ceramic and agglomerated stone tiles, natural stone and terrazzo tiles and slabs, and mosaics.","Ceramic and agglomerated stone tiles, natural stone and terrazzo tiles and slabs, and mosaics."
165_UK_UK_Approved_Document_7,BS 8000-12 Workmanship on building sites.,BS 8000-12 Workmanship on building sites.
167_UK_UK_Approved_Document_7,BS 8000-13 Workmanship on building sites.,BS 8000-13 Workmanship on building sites.
169_UK_UK_Approved_Document_7,BS 8000-14 Workmanship on building sites.,BS 8000-14 Workmanship on building sites.
171_UK_UK_Approved_Document_7,BS 8000-15 Workmanship on building sites.,BS 8000-15 Workmanship on building sites.
174_UK_UK_Approved_Document_7,BS 8000-16 Workmanship on building sites.,BS 8000-16 Workmanship on building sites.
175_UK_UK_Approved_Document_7,Code of practice for sealing joints in buildings using sealants [1997 + A1:2010] BS EN ISO 9000 Quality management systems.,Code of practice for sealing joints in buildings using sealants [1997 + A1:2010] BS EN ISO 9000 Quality management systems.
177_UK_UK_Approved_Document_7,BS EN ISO 9001 Quality management systems.,BS EN ISO 9001 Quality management systems.
179_UK_UK_Approved_Document_7,BS 8000-1 Workmanship on building sites.,BS 8000-1 Workmanship on building sites.
181_UK_UK_Approved_Document_7,BS 8000-2-1 Workmanship on building sites.,BS 8000-2-1 Workmanship on building sites.
182_UK_UK_Approved_Document_7,Code of practice for concrete work.,Code of practice for concrete work.
183_UK_UK_Approved_Document_7,Mixing and transporting concrete [1990 + AMD 9324].,Mixing and transporting concrete [1990 + AMD 9324].
184_UK_UK_Approved_Document_7,BS 8000-2-2 Workmanship on building sites.,BS 8000-2-2 Workmanship on building sites.
185_UK_UK_Approved_Document_7,Code of practice for concrete work.,Code of practice for concrete work.
187_UK_UK_Approved_Document_7,BS 8000-3 Workmanship on building sites.,BS 8000-3 Workmanship on building sites.
189_UK_UK_Approved_Document_7,BS 8000-4 Workmanship on building sites.,BS 8000-4 Workmanship on building sites.
191_UK_UK_Approved_Document_7,BS 8000-5 Workmanship on building sites.,BS 8000-5 Workmanship on building sites.
193_UK_UK_Approved_Document_7,BS 8000-6 Workmanship on building sites.,BS 8000-6 Workmanship on building sites.
195_UK_UK_Approved_Document_7,BS 8000-7 Workmanship on building sites.,BS 8000-7 Workmanship on building sites.
197_UK_UK_Approved_Document_7,BS 8000-8 Workmanship on building sites.,BS 8000-8 Workmanship on building sites.
