Text,org_class
Where the parking is within the private curtilage of the dwelling (but not within a carport or garage) at least one space is a standard parking bay that can be widened to 3.3m.,numerical
"Where communal parking is provided to blocks of flats, at least one standard parking bay is provided close to the communal entrance of each core of the block (or to the lift core where the parking bay is internal).",numerical
The gradient is as shallow as the site permits.,numerical
"Door entry controls, where provided, are mounted 9001000mm above finished ground level, and at least 300mm away from any projecting corner.",numerical
"A wide range of people, including accompanied wheelchair users, should be able to access and use the lift.",subjective
NOTE 2: Double doors effectively provide nibs where each leaf is at least 300mm wide.,numerical
"All walls, ducts and boxings to the WC/cloakroom, bathroom and shower room should be strong enough to support grab rails, seats and other adaptations that could impose a load of up to 1.5kN/m2.",subjective
In WC/cloakrooms the basin and/or WC may encroach into the shower space but this should be minimised.,subjective
Any radiator or towel rail should be clear of all access zones.,subjective
"The handle to at least one window in the principal living area is located between 450mm and 1200mm above floor level, unless the window is fitted with a remote opening device that is within this height range.",numerical
The provision made must be sufficient to (a) allow simple adaptation of the dwelling to meet the needs of occupants who use wheelchairs; or (b)  meet the needs of occupants who use wheelchairs.,numerical
"The dwelling is wheelchair adaptable such that key parts of the accommodation, including sanitary facilities and kitchens, could be easily altered to meet the needs of a wheelchair user or, where required by a local planning authority, the dwelling is wheelchair accessible.",subjective
"The approach route should be safe and convenient for everyone, be at the shallowest gradient that can reasonably be achieved, and be stepfree, irrespective of the storey on which the dwelling is located.",subjective
A step-free approach route should be provided to all private entrances.,subjective
No individual flight has a rise of more than 1800mm between landings.,numerical
This grippable handrail is 8501000mm above the pitch line of the flight and extends at least 300mm beyond the top and bottom nosings.,numerical
Power assisted opening is provided where the opening force of the door is more than 30N from 0 to 30 or more than 22.5N from 30 to 60 of the opening cycle.,numerical
The full area under a stair that forms part of the storage provision should be counted as 1m2.,numerical
"Where the dwelling is defined as wheelchair adaptable, it should be easy to install a lift.",subjective
"Any floors, walls and doors that have been installed to allow the potential liftway to be used as storage or for other purposes could be easily removed without structural alteration.",subjective
"A power socket, suitable for powering the lifting device, is provided close to the liftway.",subjective
Lifting devices should be positioned with the end opposite to the entry point located against a wall at every floor level.,subjective
Turning circle should be clear of top step of any adjacent flight of steps.,subjective
all dimensions are minimum except where noted.,numerical
"An ambulant disabled person should be able to move within, and between, storeys.",numerical
"The relationship between the kitchen, dining and living areas should be convenient and step-free.",combined
"Unit length should be measured through midline of the worktop, not the front or rear edge.",combined
The sink is not more than 150mm deep with insulation to the underside to prevent scalding  of a wheelchair users legs.,numerical
Taps should be lever operated and capable of easy operation.,subjective
There is a minimum of 400mm of worktop to at least one side of the oven and fridge or fridge freezer where this is taller than the worktop height (or to one side of a pair of tall appliances where they are located together at the end of a run).,combined
One bedroom should be close to an accessible bathroom suitable for a wheelchair user.,subjective
All other bedrooms should be accessible to a wheelchair user.,subjective
Every single bedroom has a minimum floor area of 8.5m2 and is at least 2.4m wide.,combined
"All walls, ducts and boxings to every WC/cloakroom, bath and shower room are strong enough to support grab rails, seats and other adaptations that could impose a load of 1.5kN/m2.",combined
"Where sanitary facilities are wheelchair accessible, WC pans should be a minimum of 400mm high.",subjective
"Where sanitary facilities are wheelchair accessible, basins and sinks should be wall hung (typically with their rim 770-850mm above finished floor level) and the clear zone beneath basins, services and pedestals is maximised to enable wheelchair users to approach.",subjective
Wheelchair accessible dwellings must also provide both a level access shower and a bath.,numerical
In WC/cloakrooms the basin and/or WC may encroach into the shower space but this should be minimised.,subjective
Any radiator or towel rail should be clear of all access zones.,subjective
Doors must be capable of opening outwards -  in wheelchair adaptable bathrooms the door may open inwards providing that the door can be easily rehung to open outwards (e.g. door stops are planted and easily moved).,subjective
"In dwellings with five bed-spaces or more, both a useable bath and an installed level access shower are provided (either in one bathroom or in more than one bathroom on the same storey as the principal bedroom).",numerical
Doors must be capable of opening outwards in wheelchair adaptable bathrooms the door may open inwards providing that the door can be easily rehung to open outwards (e.g. door stops are planted and easily moved).,subjective
WC doors must be capable of opening outwards.,subjective
Consumer units should be mounted so that the switches are between 1350mm and 1450mm above floor level.,subjective
"The handle to at least one window in the principal living area is 700-1000mm above floor level, unless fitted with a remote opening device that is within this height range.",subjective
"A threshold that is level or, if raised, has a total height of not more than 15mm, a minimum number of upstands and slopes and with any upstands higher than 5mm chamfered.",subjective
totalling up to 50mm total thickness and shallow projecting ducts or casings above 1800mm may be discounted when measuring clear width.,subjective
"A unit that contains both living accommodation and space for commercial purposes (e.g. as aworkshop or office) should be treated as a residential building, as long as the commercial part canrevert to residential use.",subjective
"Each residential unit, shared communal room and common space should be categorised separately.",subjective
The equivalent area of the opening should meet or exceed the free area of the opening.,subjective
Main distribution routes should be through vertical risers to minimise heat gains into common spaces.,subjective
The building control body should be provided with a report that demonstrates that the residential building passes CIBSEs TM59 assessment of overheating.,subjective
The internal temperature exceeds 23C at 11pm.,subjective
"At night, windows, patio doors and balcony doors should be modelled as closed.",subjective
"An entrance door should be included, which should be shut all the time.",subjective
The building should be constructed to meet requirement O1 using passive means as far as reasonably practicable.,subjective
NOTE: Any method to reduce overheating risk in residential buildings must comply with all other parts of the Building Regulations.,subjective
NOTE: A system for purge ventilation should be provided in each habitable room to demonstrate compliance with Part F of the Building Regulations.,subjective
Buildings located near to significant local pollution sources should be designed to minimise the intake of external air pollutants.,subjective
"When determining the free area available for ventilation during sleeping hours, only the proportion of openings that can be opened securely should be considered to provide useful ventilation.",subjective
Only the proportion of openings which can be opened with a very low risk of occupants falling from height should be considered to form part of the overheating mitigation strategy.,subjective
Window handles on windows that open outwards are not more than 650mm from the inside face of the wall when the window is at its maximum openable angle.,subjective
Guarding should be sized to prevent the passage of a 100mm sphere.,subjective
Any looped cords must be fitted with child safety devices.,subjective
"When a new residential building is erected, information about the building must be given to the owner of the building to allow them to use the overheating mitigation strategy effectively.",subjective
Sufficient information about the overheating mitigation strategy and its maintenance requirements must be given to owners so that it can be used effectively.,subjective
"The information should be provided in a clear manner, for a non-technical audience.",subjective
"For example, the shutters should be used in the day and the windows opened only when it is cooler outside.",subjective
"Where a room serves more than one activity, e.g. open-plan kitchen and living room, the area with the largest glazing area should be assessed and the room area calculated based on a room depth no greater than 4.5m from the glazed facade.",subjective
All three parts of the compliance checklist should be completed.,subjective
The relevant parts of Part 2 and 3 should be signed by a person who is competent to design the residential building.,subjective
"Each of the two sections of the centrally hinged window should be assessed as a single side, bottom or top hung window.",subjective
"Building work must be carried out so as to ensure that the building is equipped with a high-speedready inbuilding physical infrastructure, up to a network termination point for high-speed electronic communications networks.",subjective
"Where the work concerns a building containing more than one dwelling, the work must be carried out so as to ensure that the building is equipped in addition with a common access point for highspeed electronic communications networks.",numerical
Multi-dwelling buildings that are subject to major renovation works must be equipped with a common access point capable of serving all the dwellings within the building.,numerical
"A suitable position for at least one network termination point should be identified for the erection of a new building other than a dwelling, for an existing building (including an existing individual dwelling) that is subject to major renovation works, and for each dwelling in an existing multidwelling building that is subject to major renovation works.",numerical
"The main doors for entering a dwelling (usually the front door) should have a door viewer unless other means exist to see callers, such as clear glass within the door or a window next to the doorset.",subjective
Frames should be mechanically fixed to the structure of the building in accordance with the manufacturers installation instructions.,subjective
"The resilient layer should be timber sheathing at least 9mm thick, expanded metal or a similar resilient material.",subjective
The resilient layer should be to the full height of the door and 600mm either side of the doorset.,numerical
Frames should be mechanically fixed to the structure of the building in accordance with the manufacturers installation instructions.,subjective
"Easily accessible: Either: a window or doorway, any part of which is within 2m vertically of an accessible level surface such as the ground or basement level, or an access balcony, or a window within 2m vertically of a flat or sloping roof (with a pitch of less than 30) that is within 3.5m of ground level.",numerical
The doorset should be manufactured from solid or laminated timber with a minimum density of 600kg/m3.,subjective
"Door rails, stiles and muntins should be at least 44mm thick.",subjective
"After rebating, frame components should retain at least 32mm of timber.",numerical
Any panel within the doorset should be at least 15mm thick.,numerical
The panel should be securely held in place.,subjective
Beading should be mechanically fixed and glued in position.,subjective
The smaller dimension of each panel  which can be either the width or height of the panel  should be 230mm or less.,numerical
"The main doors for entering a dwelling (usually the front doorset) should be fitted with a multipoint locking system that meets the requirements of:   PAS 3621 (key locking on both sides), or PAS 8621 (non-key locking on the internal face), or PAS 10621 (non-key locking on the internal face, but with an external locking override facility).",subjective
"Between the locking points for the mortice lock and surface-mounted rim lock, the distance should be 400-600mm.",numerical
"The non-primary doors for entering a dwelling (for example, back door or garage inter-connecting doors) should be fitted with a multipoint locking system that meets the requirements of: PAS 3621 (key locking on both sides), or PAS 8621 (non-key locking on the internal face), or PAS 10621 (non-key locking on the internal face, but with an external locking override facility).",subjective
"The morticed bolts should have a minimum projection of 20mm, should be at least 100mm from the top and bottom corners of the door, and should avoid any door construction joints.",numerical
"The main doors for entering a dwelling (usually the front door) should have a door viewer unless other means exist to see callers, such as clear glass within the door or a window next to the doorset.",subjective
"Where the work concerns a building containing more than one dwelling, the work must be carried out so as to ensure that the building is equipped in addition with a common access point for gigabit-capable public electronic communications networks.",subjective
"NOTE: The network distribution point could be in a cabinet, a box mounted on a wall or on a telegraph pole.",subjective
"Where a new building contains more than one dwelling, a common access point for a gigabit-capable public electronic communications network is required as a part of the buildings gigabit-ready physical infrastructure.",subjective
"For example, if there is a point that is as close to the distribution point as the developer can extend the gigabit-ready physical infrastructure to, but this would not be reasonably practicable for the developer due to the condition of the land in question, the infrastructure should be extended to an alternative point that is reasonably practicable.",subjective
"One way to meet the requirement for gigabit-ready physical infrastructure which extends beyond the dwelling is to design and install a system of ducts, chambers, cabinets, towers and poles that can facilitate at least one gigabit-capable public electronic communications network connection for all the dwellings serviced by that infrastructure.",subjective
"Where full fibre connections are not available, other means of providing gigabit-capable public electronic communications network connections such as Data Over Cable Service Interface Specification (DOCSIS 3.1) or a fixed wireless access technology  should be explored before pursuing a next fastest broadband connection.",subjective
"Where an access point is installed at a dwelling to facilitate connection to a gigabit-capable public electronic communications network, the ingress of moisture into the building and air leakage from the building should be prevented.",subjective
"For a building that contains more than one dwelling, such as a block of flats, a common access point and gigabit-ready physical infrastructure inside the building are required.",subjective
"For a building that contains more than one dwelling, the gigabit-ready physical infrastructure inside the building should have sufficient capacity and dimensions to host at least one gigabit-capable public electronic communications network connection for each dwelling.",subjective
"For example, ducting under land should be fully covered, and any infrastructure protruding from the building or ground should be encased where possible.",subjective
"NOTE: Consideration should be given to the positioning of network termination points installed within the dwelling to ensure good connectivity throughout the dwelling, such as in central, open areas of the dwelling.",subjective
Each dwelling must in addition be provided with a connection to a gigabit-capable public electronic communications network.,numerical
Developers should work with network operators to provide a gigabit-capable public electronic communications network connection for each new dwelling erected unless the cost exceeds the cost cap of 2000 per dwelling or the network operator declines to provide a connection.,subjective
"Where a gigabit-capable public electronic communications network connection is not being installed because a connection is not offered within the 2000 cost cap, developers should work with network operators to provide the next fastest broadband connection which can be installed without exceeding the 2000 cost cap.",combined
At least one network termination point should be provided in a suitable position at each new dwelling erected.,numerical
A fixed electrical supply for the network termination point and associated distribution equipment should be provided at the network termination point.,subjective
Evidence that the chosen network operators are suitable should be provided.,subjective
"If the cost of connection to a gigabit-capable public electronic communications network exceeds the cost cap, developers can consider the network operators quotes for the slower connections.",combined
NOTE: Any financial contribution from the network operator should be deducted from the cost of providing the relevant connection.,subjective
"The cost of providing a connection to a gigabit-capable public electronic communications network exceeds the cost cap, with accompanying quotes provided by the suitable network operators.",combined
Note: Connection should be provided to the fastest public electronic communications network within the cost cap.,subjective
"Building work must be carried out so as to ensure that the building is equipped with a high-speedready inbuilding physical infrastructure, up to a network termination point for high-speed electronic communications networks.",subjective
"Where the work concerns a building containing more than one dwelling, the work must be carried out so as to ensure that the building is equipped in addition with a common access point for highspeed electronic communications networks.",numerical
Multi-dwelling buildings that are subject to major renovation works must be equipped with a common access point capable of serving all the dwellings within the building.,numerical
"A suitable position for at least one network termination point should be identified for the erection of a new building other than a dwelling, for an existing building (including an existing individual dwelling) that is subject to major renovation works, and for each dwelling in an existing multidwelling building that is subject to major renovation works.",numerical
Suitable ducting should be provided to connect all such network termination points to an appropriate access point or common access point.,subjective
"However, it should be noted that alternative forms of connectivity may be used.",subjective
The design of the in-building physical infrastructure should take account of satellite and wireless technologies where there is evidence that the required network speeds could be met.,subjective
"Where a car park is constructed or work is carried out to an existing car park, care must be taken to ensure that the fire safety requirements of the Building Regulations have been met.",subjective
"Manual controls, where provided, should be within reasonable reach of the occupants.",subjective
Access requirements must be considered when locating electric vehicle charge points.,subjective
Accessible parking spaces must meet the Part M requirements.,subjective
"Where electrical work is carried out for a dwelling, Part P of the Building Regulations must be met.",subjective
"The number of associated parking spaces which have access to electric vehicle charge points must be (a) the total number of associated parking spaces, where there are fewer associated parking spaces than there are dwellings contained in the residential building; or (b) the number of associated parking spaces that is equal to the total number of dwellings contained in the residential building, where there are the same number of associated parking spaces as, or more associated parking spaces than, there are dwellings.",numerical
The number of electric vehicle charge points that must be installed is the maximum number of electric vehicle charge points that it is possible to install at an average sum of 3600 or less for the connection cost of each electric vehicle charge point connection (the 3600 cap).,numerical
The building has more than 10 associated parking spaces.,numerical
If the number of associated parking spaces for the new residential building is both a. more than 10; b. more than the number of dwelling scable routes must be provided for all associated parking spaces which do not have access to an electric vehicle charge point.,numerical
"Where the connection cost is greater than 3600 per electric vehicle charge point connection, the maximum number of electric vehicle charge points should be installed before the extra grid connection costs exceed 3600 per electric vehicle charge point connection.",numerical
At least one quote should be from a distribution network operator.,numerical
The maximum number of electric vehicle charge points that can be installed before the extra grid connections costs exceed 3600 per charge point per dwelling.,numerical
"Where one or more dwellings with associated parking result from a building, or a part of a building, undergoing a material change of use at least one associated parking space for the use of each such dwelling must have access to an electric vehicle charge point.",numerical
Where a residential building undergoing major renovation will have more than 10 associated parking spaces after the major renovation is completed (a) at least one associated parking space for the use of each dwelling must have access to an electric vehicle charge point; (b) cable routes for electric vehicle charge points must be installed in all additional associated parking spaces.,numerical
"If the cost of installing the required electric vehicle charge points and cable routes for electric vehicle charge points exceeds 7% of the total cost of the major renovation(a) the residential building is exempt from the requirement to install any electric vehicle charge point; (b) cable routes for electric vehicle charge points must be installed in all associated parking spaces, except where the cost of that installation exceeds 7% of the total cost of the major renovation.",combined
As many electric vehicle charge points as can be accommodated within the existing power supply should be installed.,combined
Cable routes should be provided for the additional parking spaces which would have required an electric vehicle charge point if the electrical power supply were sufficient.,subjective
"When work is complete, there will be more than 10 associated parking spaces for the use of the dwellings.",numerical
"If there are associated parking spaces where there is not a requirement to install electric vehicle charge points, cable routes must be installed in all remaining associated parking spaces.",numerical
The cost of installing electric vehicle charge points and cable routes is not more than 7% of the total capital cost of the major renovation.,numerical
"Where the cost of installing only cable routes is more than 7% of the total cost of the major renovation, there is no requirement to install either electric vehicle charge points or cable routes.",numerical
The methodology for determining costs should be consistent between all elements of the calculation to allow a fair comparison between the cost of the major renovation and the cost of electric vehicle charge point infrastructure.,subjective
"If there are not enough associated parking spaces outside of the covered car park to meet the requirement to install electric vehicle charge points, then cable routes should be installed for associated parking spaces within the covered car park.",numerical
The total number of associated parking spaces which have access to either: a. cable routes; b. an electric vehicle charge point should be the greater of the following: a. the number of dwellings in the residential building; b. the number of associated parking spaces.,numerical
Where a new building which is not a residential building or a mixed-use building has more than 10 parking spaces (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.,numerical
One electric vehicle charge point must be provided for the building.,numerical
At least one in every five remaining parking spaces must be provided with cable routes.,numerical
"NOTE: A minimum of one in every five means that, for example, if there are 11 parking spaces, two parking spaces must have access to cable routes in addition to the one parking space with access to an electric vehicle charge point.",numerical
"Where any of the parking spaces for new buildings other than residential or mixed-use buildings are in a covered car park, the requirement to install an electric vehicle charge point should be met by installing a charge point in a parking space that is not within a covered car park.",numerical
Cable routes must still be provided for a minimum of one in five parking spaces.,numerical
"Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces.",numerical
"If the cost of installing the required electric vehicle charge point and cable routes for electric vehicle charge points exceeds 7% of the total cost of the major renovation (a) such a building is exempt from the requirement to install the electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of parking spaces, except where the cost of that installation exceeds 7% of the total cost of the major renovation.",combined
"After work is complete, more than 10 parking spaces within the site boundary will be available for the use of building users.",numerical
One electric vehicle charge point must be installed.,numerical
A minimum of one in five of the remaining parking spaces must have access to cable routes.,numerical
"NOTE: A minimum of one in every five means that, for example, if there are 11 parking spaces, two parking spaces must have access to cable routes in addition to the one parking space with an electric vehicle charge point.",numerical
"Where the cost of installing only cable routes is more than 7% of the total cost of the major renovation, there is no requirement to install either electric vehicle charge points or cable routes.",numerical
The methodology for determining costs should be consistent between all elements of the calculation to allow a fair comparison between the cost of the major renovation and the cost of electric vehicle charge point infrastructure.,subjective
"Where one or more parking spaces are within a covered car park, the requirement to install electric vehicle charge points should be met by installing charge points in parking spaces that are not within a covered car park.",numerical
Cable routes must still be provided for a minimum of one in five parking spaces.,numerical
"Where relevant work is undertaken on a mixed-use building, it should be determined which parking spaces are associated parking spaces for the use of occupants of the dwellings, and which parking spaces are for use by users of the non-residential function of the building.",subjective
"For mixed-use buildings which have parking spaces within a covered car park, any requirements to install electric vehicle charge points or cable routes must first be applied to those parking spaces outside the covered car park.",numerical
the location of the electric vehicle charge point or future connection location should be suitable for use by electric vehicles with charging inlets in different places.,subjective
Cable routes should be provided from a metered electricity supply point to the future connection location.,subjective
"All cable routes should be laid as straight as possible and with suitable access points, so that cables can be pulled through in future.",subjective
All space alongside the cable duct should be backfilled in a way that avoids damage to the duct.,subjective
The termination points of cable duct should be sited where access to maintain in future is unrestricted.,subjective
Any future connection locations should be clearly identified and labelled.,subjective
Each letter should be 25mm high.,numerical
The text should be displayed over three lines.,numerical
The sign should be suitably weatherproof for its location.,subjective
The sign should be sited where a person installing an electric vehicle charge point in future will see it.,subjective
"Where vehicle barriers are necessary, sufficient space (for example 500mm) should be allowed around the future connection location.",numerical
