example_id,content,metadata,tagged_sentence,relation_type
5ca184fa-e100-4f97-957d-e37ae944786f,The cost of installing electric vehicle charge points and cable routes is not more than 7% of the total capital cost of the major renovation.,{'ID': '51_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},The cost of <e1>installing electric vehicle charge points and cable routes</e1> is not more than 7% of the <e2>total capital cost</e2> of the major renovation.,none
f6e7c818-f661-400b-8272-8062c5a7de68,"Where a lift is provided, it should be suitable for a wheelchair user.",{'ID': '22_UK_DocM_V1_AccessAndUseOfBuildings'},"Where a <e1>lift</e1> is provided, it should be <e2>suitable for a wheelchair use</e2>r.",necessity
aca1acce-65c1-4677-a979-ce2920457a55,The surface of stairs the must not be slippery.,{'ID': '14_Finnish_SafetyOfUse'},The <e1>surface</e1> of <e2>stairs</e2> the must not be slippery.,part-of
dae0db09-fd4b-4f2c-99c0-cd742b19d17a,"A glass structure or other light-permeable structure, along with its mountings, must withstand the load to which it is normally subject, unless the structure is protected by a fixed collision barrier.",{'ID': '68_Finnish_SafetyOfUse'},"A glass structure or other light-permeable structure, along with <e1>its</e1> <e2>mountings</e2>, must withstand the load to which it is normally subject, unless the structure is protected by a fixed collision barrier.",part-of
d43e4877-601c-43eb-9d33-96945754374b,Good acoustic design should be employed to achieve an acoustic environment that is neither too reverberant nor too absorbent so that announcements and conversations can be heard clearly.,{'ID': '99_UK_DocM_V2_AccessAndUseOfBuildings'},Good acoustic design should be employed to achieve an <e1>acoustic environment</e1> that is neither too reverberant nor too absorbent <e2>so that announcements and conversations can be heard clearly</e2>.,none
77be05f2-cd8c-4d35-85e4-6637b999d8e7,The value of the consequential improvement works should not be less than 10 of the value of the principal works.,{'ID': '452_UK_DocM_V2_AccessAndUseOfBuildings'},The <e1>value</e1> of the consequential <e2>improvement works</e2> should not be less than 10 of the value of the principal works.,part-of
a9c88566-e4e5-4cba-8165-9916820d9cc5,"Doors, gates and boom barriers must operate safely and in such a way that they do not cause a danger of an accident.",{'ID': '75_Finnish_SafetyOfUse'},"Doors, gates and <e1>boom barriers</e1> must <e2>operate safely</e2> and in such a way that they do not cause a danger of an accident.",necessity
fc54cd23-e216-4f59-b1b6-35ec47a83a4a,Test data must be from a minimum of five in-situ measurements of the same module types and link details as used in the actual building.,{'ID': '351_UK_DocM_V2_AccessAndUseOfBuildings'},<e1>Test data</e1> must be <e2>from a minimum of five in-situ measurements of the same module types</e2> and link details as used in the actual building.,necessity
1c511111-ab71-4b68-9421-f588bc4b9180,"People with visual impairment should be in no doubt as to the location of glass doors, especially when they are within a glazed screen.",{'ID': '76_UK_DocM_V2_AccessAndUseOfBuildings'},"<e1>People</e1> <e2>with visual impairment</e2> should be in no doubt as to the location of glass doors, especially when they are within a glazed screen.",necessity
5925ca4d-801c-42e4-b581-a176dea2519f,"If thermal energy is supplied from a district heat network, a CO2 emission factor and primary energy factor for the heat delivered to the dwelling by the district heat network should be calculated.",{'ID': '76_UK_DocL_V1_ConsrvationOfFuelAndPower'},"If thermal energy is supplied from a district heat network, a CO2 emission factor and <e1>primary energy factor</e1> for the heat delivered to the dwelling by the district heat network should be <e2>calculated</e2>.",necessity
5211dbd1-d12a-4371-ad62-1dc5616cd2f5,The heat pump along with its accompanying pipework should be flushed and purged as a separate system while isolated from the ground array system.,{'ID': '387_UK_DocL_V1_ConsrvationOfFuelAndPower'},The <e1>heat pump</e1> along with its accompanying <e2>pipework</e2> should be flushed and purged as a separate system while isolated from the ground array system.,part-of
e7be7432-5505-47ad-b586-2a2e3f5a1a37,"If the index terminal has to be set to a significantly closed position to achieve the required air flow rate, then the fan speed should be reduced and the terminals rebalanced.",{'ID': '203_UK_DocF_V1_Ventilation'},"If the index terminal has to be <e1>set to a significantly closed position to achieve the required air flow rate</e1>, then the fan <e2>speed</e2> should be reduced and the terminals rebalanced.",none
81f14fc1-af5d-45e8-8725-94d2510e4701,"A dwelling that is intended for service housing or supported housing of a person with mobility and functional impairment shall, irrespective of the number of storeys in the building, have a turning  space  with  a  diameter  of  at  least  1,500  millimetres  in  the  hallway  and  kitchen.",{'ID': '29_Finnish_Accessibility'},"A dwelling that is intended for service housing or supported housing of a person with mobility and functional impairment shall, irrespective of the number of storeys in the building, have a turning space with a <e1>diameter</e1> of at least <e2>1,500 millimetres</e2> in the hallway and kitchen.",greater-equal
29232335-402c-4ed9-af74-fd093ac22e28,The natural or mechanical ventilation system of a building shall be strong and its air-tightness shall be at least class B.,{'ID': '95_Finnish_Health-IndoorClimateAndVentilation'},The natural or <e1>mechanical</e1> <e2>ventilation system</e2> of a building shall be strong and its air-tightness shall be at least class B.,selection
16f6f10e-f32f-48b2-85f9-123cdb5448ee,Any unavoidable gaps between boards should be infilled using compressible tape (e.g. for boards within roof rafters) or low expansion foam (e.g. for boards within wall cavities).,{'ID': '147_UK_DocL_V1_ConsrvationOfFuelAndPower'},Any unavoidable gaps between boards should be <e1>infilled</e1> using <e2>compressible tape</e2> (e.g. for boards within roof rafters) or low expansion foam (e.g. for boards within wall cavities).,selection
0df5892a-e396-424e-90f1-74f6ccfb9e1a,"A certain proportion of the changing rooms, washing facilities, saunas and swimming pools in a non-residential building shall be suitable for a person with mobility and functional impairment.",{'ID': '61_Finnish_Accessibility'},"A certain proportion of the changing rooms, <e1>washing facilities</e1>, saunas and swimming pools in a <e2>non-residential building</e2> shall be suitable for a person with mobility and functional impairment.",part-of
6ec243f2-9294-4b7c-89a4-1c46e4a69cc9,"If site constraints necessitate an approach of 1:20 or steeper, an approach incorporating ramped access should be provided.",{'ID': '49_UK_DocM_V2_AccessAndUseOfBuildings'},"If site constraints necessitate an <e1>approach</e1> of <e2>1:20</e2> or steeper, an approach incorporating ramped access should be provided.",greater-equal
f27c9fb4-dc28-494c-a277-a51360cdfdb8,A handrail and its ending must be shaped safely and must continue past the start and end points of the structure.,{'ID': '57_Finnish_SafetyOfUse'},A handrail and <e1>its</e1> <e2>ending</e2> must be shaped safely and must continue past the start and end points of the structure.,part-of
9dd2a0f1-0ff9-4416-8abd-1e6589980ff4,"If the cross-sectional area of a mechanical ventilation systems air duct is designed to be greater than 0.06 m2, the outdoor air and exhaust air ducts shall be fitted with shutoff dampers that close automatically when the system shuts down.",{'ID': '100_Finnish_Health-IndoorClimateAndVentilation'},"If the cross-sectional area of a mechanical <e1>ventilation systems</e1> <e2>air duct</e2> is designed to be greater than 0.06 m2, the outdoor air and exhaust air ducts shall be fitted with shutoff dampers that close automatically when the system shuts down.",part-of
259c1614-77ef-4ae4-a401-83caa603e374,"The main doors for entering a dwelling (usually the front doorset) should be fitted with a multipoint locking system that meets the requirements of: PAS 3621 (key locking on both sides), or PAS 8621 (non-key locking on the internal face), or PAS 10621 (non-key locking on the internal face, but with an external locking override facility).",{'ID': '35_UK_DocQ_Security_Dwellings'},"The <e1>main doors</e1> <e2>for entering a dwelling</e2> (usually the front doorset) should be fitted with a multipoint locking system that meets the requirements of: PAS 3621 (key locking on both sides), or PAS 8621 (non-key locking on the internal face), or PAS 10621 (non-key locking on the internal face, but with an external locking override facility).",selection
66249fda-33bf-4d93-8bf9-53fb82ad0e95,"The driveway and parking area at a plot or building site must be separated from pedestrian, play and recreation areas.",{'ID': '87_Finnish_SafetyOfUse'},"The driveway and <e1>parking area</e1> at a plot or <e2>building site</e2> must be separated from pedestrian, play and recreation areas.",part-of
103f99ad-884b-4bae-9f22-ccb1c5bc3d26,"In an open garage of no more than five storeys, the maximum area may be used as the surface area of the storeys, even though the driveways between the various storeys are combined.",{'ID': '110_Finnish_FireSafety'},"In an open garage of no more than five <e1>storeys</e1>, the maximum area may be used as the surface area of the storeys, even though the driveways between the various storeys are <e2>combined</e2>.",none
6e5e61dd-039d-4079-9c3f-f52fc12efefb,For continuing horizontal structures the loaded area shall be calculated span by span.,{'ID': '12_Finnish_StabilityOfStructures'},For continuing horizontal structures the <e1>loaded area</e1> shall be <e2>calculated span by span</e2>.,necessity
83ff563b-077a-4849-b526-382fbb012647,The breaking of a glass structure or other light-permeable structure of a building must not cause a danger of falling or a danger of injury from fragments falling onto persons below.,{'ID': '67_Finnish_SafetyOfUse'},The breaking of a glass structure or other <e1>light-permeable structure</e1> of a <e2>building</e2> must not cause a danger of falling or a danger of injury from fragments falling onto persons below.,part-of
4c83069b-8c22-43ad-92a0-354ecd0e40a1,"Sufficient information should be provided to ensure that people can operate, maintain or alter an electrical installation with reasonable safety.",{'ID': '7_UK_DocP_ElectricalSafety'},"Sufficient <e1>information</e1> should be <e2>provided to ensure that people can operate, maintain or alter an electrical installation with reasonable safety</e2>.",necessity
06c2e0f7-69c8-47ec-bf31-9902ae9df7cf,"Provision shall be made for any windows, skylights, or any transparent or translucent walls, ceilings or roofs to be safely accessible for cleaning.",{'ID': '109_UK_DocK_ProtectionFromFalling'},"Provision shall be made for any windows, <e1>skylights</e1>, or any transparent or translucent walls, ceilings or roofs to <e2>be safely accessible for cleaning</e2>.",necessity
710ef992-e187-4b1a-894b-e0e222f54359,"NOTE: For grid-supplied electricity, a CO2 emission factor of 0.136kgCO2/kWh and primary energy factor of 1.501kWhPE/kWh should be used.",{'ID': '199_UK_DocM_V2_AccessAndUseOfBuildings'},"NOTE: For <e1>grid-supplied</e1> <e2>electricity</e2>, a CO2 emission factor of 0.136kgCO2/kWh and primary energy factor of 1.501kWhPE/kWh should be used.",selection
7f72632a-dc0a-4318-afd7-7090b42350fc,Mechanical supply terminals should be located and directed to avoid draughts.,{'ID': '106_UK_DocF_V1_Ventilation'},Mechanical <e1>supply terminals</e1> should be located and <e2>directed</e2> to avoid draughts.,necessity
4e119abd-0cf7-4c60-9c7b-1083f9b46280,"NOTE: If an exposed facade is close to an area of sustained and loud noise (e.g. a main road), then a noise attenuating background ventilator should be fitted.",{'ID': '85_UK_DocF_V2_Ventilation'},"NOTE: If an <e1>exposed</e1> facade is close to an area of sustained and loud noise (e.g. a main road), then a noise attenuating background ventilator should be <e2>fitted</e2>.",none
2cf150af-bede-4bb6-aa2e-b9f42a109761,The warning should be placed sufficiently in advance of the hazard to allow time to stop and not be so narrow that it might be missed in a single stride.,{'ID': '53_UK_DocM_V2_AccessAndUseOfBuildings'},The <e1>warning</e1> should be placed sufficiently in advance of the hazard to allow time to stop and <e2>not be so narrow that it might be missed in a single stride</e2>.,necessity
0a53e4af-84a7-46aa-b28a-cb1d873c8cae,"The type and quality of public address, hearing enhancement and telephone systems should be chosen carefully to ensure intelligibility.",{'ID': '151_UK_DocM_V2_AccessAndUseOfBuildings'},"The <e1>type and quality</e1> of <e2>public address</e2>, hearing enhancement and telephone systems should be chosen carefully to ensure intelligibility.",selection
35af73f1-53c7-4377-9da0-acf99eef4d8e,"WC compartment doors, and doors to wheelchair-accessible unisex toilets, changing rooms or shower rooms have an emergency release mechanism so that they are capable of being opened outwards, from the outside , in case of emergency.",{'ID': '159_UK_DocM_V2_AccessAndUseOfBuildings'},"WC compartment doors, and doors to wheelchair-accessible <e1>unisex</e1> <e2>toilets</e2>, changing rooms or shower rooms have an emergency release mechanism so that they are capable of being opened outwards, from the outside , in case of emergency.",selection
525aa713-65e1-4368-a6f4-38f628be7fed,"in clothes shops, the dimensions and fittings recommended for an individual changing cubicle in a sports building should be provided.",{'ID': '177_UK_DocM_V2_AccessAndUseOfBuildings'},"in clothes shops, the dimensions and <e1>fittings</e1> <e2>recommended for an individual changing cubicle</e2> in a sports building should be provided.",selection
0cfe8c0e-45e4-4c4c-bf9b-906e26e28c75,"There should be sufficient space for people to approach the building, pass others who are travelling in the opposite direction and carry out all necessary manoeuvres.",{'ID': '43_UK_DocM_V2_AccessAndUseOfBuildings'},"There should be <e1>sufficient</e1> space for people to approach the building, <e2>pass others who are travelling in the opposite direction</e2> and carry out all necessary manoeuvres.",none
656aa2fa-18cb-41ee-ae28-28deb3dffcc3,The water temperature of the water in the hot water system shall be at least 55 degrees Celsius and available from the hot water plumbing fixture within 20 seconds.,{'ID': '61_Finnish_Health-WaterAndSewerage'},The water temperature of the <e1>water</e1> in the <e2>hot water system</e2> shall be at least 55 degrees Celsius and available from the hot water plumbing fixture within 20 seconds.,part-of
7d7d55f1-b28d-4ce8-aec6-dd4dc0786ce8,"For sizes of cylinder not listed, the heat loss from the cylinder should not exceed (16.66 8.33 V0.4)/(1000 24), where V is the volume in litres.",{'ID': '208_UK_DocL_V1_ConsrvationOfFuelAndPower'},"For sizes of <e1>cylinder</e1> not listed, the heat loss <e2>from the cylinder</e2> should not exceed (16.66 8.33 V0.4)/(1000 24), where V is the volume in litres.",none
a922fe4e-30c9-4fef-a442-27459b959914,Vertical service pipes shall be equipped with mechanical or structural leak detectors at each floor if the service pipes are not visible.,{'ID': '82_Finnish_Health-WaterAndSewerage'},Vertical <e1>service pipes</e1> shall be equipped with mechanical or structural leak detectors at each floor if the service pipes are <e2>not visible</e2>.,selection
7f72632a-dc0a-4318-afd7-7090b42350fc,Mechanical supply terminals should be located and directed to avoid draughts.,{'ID': '106_UK_DocF_V1_Ventilation'},Mechanical <e1>supply terminals</e1> should be <e2>located</e2> and directed to avoid draughts.,necessity
c47598f9-df79-4d77-aba9-8f380342372f,extract air of category 4 shall be conducted to the outdoors through individual extract air ducts.,{'ID': '88_Finnish_Health-IndoorClimateAndVentilation'},extract air of <e1>category</e1> <e2>4</e2> shall be conducted to the outdoors through individual extract air ducts.,equal
8e9ef8dc-18bd-4877-98cd-556aa4adee8f,"Reasonable provision shall be made for the conservation of fuel and power in buildings by: (a) limiting heat gains and losses (i) through thermal elements and other parts of the building fabric; and (ii) from pipes, ducts and vessels used for space heating, space cooling and hot water services; (b) providing fixed building services which (i) are energy efficient to a reasonable standard; (ii) have effective controls; and (iii) are commissioned by testing and adjusting as necessary to ensure they use no more fuel and power than is reasonable in the circumstances.",{'ID': '431_UK_DocM_V2_AccessAndUseOfBuildings'},"Reasonable provision shall be made for the conservation of fuel and power in <e1>buildings</e1> by: (a) limiting heat gains and losses (i) through thermal elements and other parts of the building fabric; and (ii) from pipes, ducts and vessels used for space heating, space cooling and hot water services; (b) <e2>providing fixed building services</e2> which (i) are energy efficient to a reasonable standard; (ii) have effective controls; and (iii) are commissioned by testing and adjusting as necessary to ensure they use no more fuel and power than is reasonable in the circumstances.",none
09b2a395-5293-4b7d-82d4-5312482d59e9,"Door entry controls, where provided, are mounted 900-1000mm above finished ground level, and at least 300mm away from any projecting corner.",{'ID': '46_UK_DocM_V1_AccessAndUseOfBuildings'},"Door entry controls, where provided, are mounted <e1>900-1000mm</e1> above finished ground level, and at least 300mm away from any <e2>projecting corner</e2>.",none
b51c7a9f-2080-4e60-940f-e59af0cc97ce,"The buildings enclosure together with its construction layers and joints must form a whole, preventing the transfer of water across the surface of the enclosure into the construction by wind, slanting rain and wind pressure.",{'ID': '34_Finnish_Health-Humidity'},"The buildings <e1>enclosure</e1> together with its <e2>construction layers</e2> and joints must form a whole, preventing the transfer of water across the surface of the enclosure into the construction by wind, slanting rain and wind pressure.",part-of
77be05f2-cd8c-4d35-85e4-6637b999d8e7,The value of the consequential improvement works should not be less than 10 of the value of the principal works.,{'ID': '452_UK_DocM_V2_AccessAndUseOfBuildings'},The <e1>value</e1> of the consequential improvement works should not be less than <e2>10</e2> of the value of the principal works.,greater-equal
ccc405a0-c6d6-4ace-ad70-e0cfe07cd1e3,"Stairs, ladders and ramps shall be so designed, constructed and installed as to be safe for people moving between different levels in or about the building.",{'ID': '14_UK_DocK_ProtectionFromFalling'},"<e1>Stairs</e1>, ladders and ramps shall be so <e2>designed, constructed and installed as to be safe for people moving between different levels in or about the building</e2>.",necessity
6e5e61dd-039d-4079-9c3f-f52fc12efefb,For continuing horizontal structures the loaded area shall be calculated span by span.,{'ID': '12_Finnish_StabilityOfStructures'},For <e1>continuing</e1> horizontal structures the loaded area shall be <e2>calculated span by span</e2>.,none
9952f64d-e0df-4b03-84af-150782f81387,"For mobility-impaired people, a going of at least 300mm is preferred.",{'ID': '124_UK_DocM_V2_AccessAndUseOfBuildings'},"For <e1>mobility-impaired</e1> people, a going of at least <e2>300mm</e2> is preferred.",none
4e1bda84-398f-4bae-a335-2c7f24501b09,The water heater is situated centrally with a distribution system to supply water to the drawoff points and has a capacity greater than 300 litres.,{'ID': '456_UK_DocM_V2_AccessAndUseOfBuildings'},The <e1>water heater</e1> is situated centrally with a distribution system to supply water to the drawoff points and has a <e2>capacity</e2> greater than 300 litres.,part-of
239bd568-c5f2-4ab5-955c-f2d8d86b7b7f,"Where closing devices are needed for fire control, electrically powered hold-open devices or swing-free closing devices should be used as appropriate.",{'ID': '90_UK_DocM_V2_AccessAndUseOfBuildings'},"Where closing devices are needed for fire control, electrically powered <e1>hold-open devices</e1> or swing-free closing devices should be <e2>used as appropriate</e2>.",necessity
81f14fc1-af5d-45e8-8725-94d2510e4701,"A dwelling that is intended for service housing or supported housing of a person with mobility and functional impairment shall, irrespective of the number of storeys in the building, have a turning  space  with  a  diameter  of  at  least  1,500  millimetres  in  the  hallway  and  kitchen.",{'ID': '29_Finnish_Accessibility'},"A dwelling that is intended for service housing or supported housing of a person with mobility and functional impairment shall, irrespective of the number of storeys in the building, have a <e1>turning space</e1> with a <e2>diameter</e2> of at least 1,500 millimetres in the hallway and kitchen.",part-of
642e2c46-45a8-440f-af0b-1b53f41d8d8f,Taps and WC cubicle doors should be operable by people with limited strength or manual dexterity and doors to cubicles should be capable of being opened if a person has collapsed against them while inside the cubicle.,{'ID': '156_UK_DocM_V2_AccessAndUseOfBuildings'},<e1>Taps</e1> and WC cubicle doors should be <e2>operable by people with limited strength or manual dexterity</e2> and doors to cubicles should be capable of being opened if a person has collapsed against them while inside the cubicle.,necessity
ffc11c58-ff7e-45f4-a5c7-da59404e5659,"Reasonable provision shall be made in the design and installation of electrical installations in order to protect persons operating, maintaining or altering the installations from fire or injury.",{'ID': '1_UK_DocP_ElectricalSafety'},"Reasonable provision shall be made in the design and <e1>installation</e1> of electrical installations in order to <e2>protect persons operating, maintaining or altering the installations from fire or injury</e2>.",necessity
aaca648c-5f60-4300-a30f-887da252ebd0,The use of visually and acoustically reflective wall surfaces should be minimised within the lifting platform to prevent discomfort for people with visual and hearing impairment.,{'ID': '116_UK_DocM_V2_AccessAndUseOfBuildings'},The use of <e1>visually</e1> and acoustically reflective <e2>wall surfaces</e2> should be minimised within the lifting platform to prevent discomfort for people with visual and hearing impairment.,selection
b5aa20f2-571e-48d8-9943-4102c9f9bd1a,"In exit passageways and fire-compartmented elevator shafts, means must be arranged for both smoke extraction and flow of replacement air.",{'ID': '250_Finnish_FireSafety'},"In exit passageways and fire-compartmented elevator shafts, <e1>means</e1> must be arranged for both smoke extraction and <e2>flow of replacement air</e2>.",selection
1cf2f287-457b-4f89-8c43-135ffda5029a,"The provision made must be sufficient to (a) meet the needs of occupants with differing needs, including some older or disabled people; and (b) to allow adaptation of the dwelling to meet the changing needs of occupants over time.",{'ID': '36_UK_DocM_V1_AccessAndUseOfBuildings'},"The <e1>provision</e1> made must be sufficient to (a) <e2>meet the needs of occupants with differing needs, including some older or disabled people</e2>; and (b) to allow adaptation of the dwelling to meet the changing needs of occupants over time.",necessity
fc129e2c-abfa-48be-9fd6-e85f077ae67b,"A space alongside the leading edge of a door should be provided to enable a wheelchair user to reach and grip the door handle, then open the door without releasing hold on the handle and without the footrest colliding with the return wall.",{'ID': '70_UK_DocM_V2_AccessAndUseOfBuildings'},"A <e1>space</e1> alongside the leading edge of a <e2>door</e2> should be provided to enable a wheelchair user to reach and grip the door handle, then open the door without releasing hold on the handle and without the footrest colliding with the return wall.",none
fac44f87-4eb9-4f56-998c-74efa9512309,"If air barriers or vapour barriers have been used in the structure, the seams, edges and penetrations must be tight.",{'ID': '106_Finnish_Health-Humidity'},"If <e1>air barriers</e1> or vapour barriers have been used in the structure, the seams, edges and <e2>penetrations</e2> must be tight.",none
1913381b-a2cc-496e-9168-82ccf2a01d50,"In connection with repair and alteration work, the heat emitters connected to the domestic hot water ring duct may be replaced so that the heat emission capacity of the heat emitters to be installed does not exceed 200 Watts per room.",{'ID': '67_Finnish_Health-WaterAndSewerage'},"In connection with repair and alteration work, the heat emitters connected to the domestic hot water ring duct may be replaced so that the heat emission capacity of the <e1>heat emitters</e1> <e2>to be installed</e2> does not exceed 200 Watts per room.",selection
db734798-9e42-4fe1-900c-77d4e6131809,"The main doors for entering a dwelling (usually the front door) should have a door viewer unless other means exist to see callers, such as clear glass within the door or a window next to the doorset.",{'ID': '11_UK_DocQ_Security_Dwellings'},"The <e1>main doors</e1> for entering a dwelling (usually the <e2>front door</e2>) should have a door viewer unless other means exist to see callers, such as clear glass within the door or a window next to the doorset.",selection
354c849e-8e02-47ec-992c-e5431a62cb3f,Ventilation systems that provide supply and extract ventilation should be fitted with a heat recovery system where technically feasible.,{'ID': '309_UK_DocM_V2_AccessAndUseOfBuildings'},<e1>Ventilation systems</e1> that provide supply and extract ventilation should be <e2>fitted with a heat recovery system where technically feasible</e2>.,necessity
d9b8f957-49e3-45d0-83ca-c0419a50361a,"In a mechanical system, there shall be a clearly labelled stop switch, which shall be located in an easily accessible place.",{'ID': '48_Finnish_Health-IndoorClimateAndVentilation'},"In a mechanical system, there shall be a <e1>clearly labelled</e1> <e2>stop switch</e2>, which shall be located in an easily accessible place.",selection
825053cb-af5d-43a9-b59b-e2a5ae78ea73,The total number of associated parking spaces which have access to either: a. cable routes; b. an electric vehicle charge point should be the greater of the following: a. the number of dwellings in the residential building; b. the number of associated parking spaces.,{'ID': '59_UK_DocS_InfrastructureForChargingOfElectricalVehicles'},The <e1>total number</e1> of associated <e2>parking spaces</e2> which have access to either: a. cable routes; b. an electric vehicle charge point should be the greater of the following: a. the number of dwellings in the residential building; b. the number of associated parking spaces.,part-of
d8a06af7-3a6b-4d68-8bba-342aac6d3ac0,Water pipes and sewers installed in the ground shall be identifiable and they shall be located separate from one another.,{'ID': '146_Finnish_Health-WaterAndSewerage'},Water pipes and sewers <e1>installed in the ground</e1> shall be <e2>identifiable</e2> and they shall be located separate from one another.,none
4f2b56cb-9852-4406-bbea-31f426fb4910,"replacing a heating system including the heating appliance, pipework and heat emitters), the energy performance of the whole system should be assessed, and the results documented and handed over to the building owner with the manufacturers supporting literature.",{'ID': '397_UK_DocM_V2_AccessAndUseOfBuildings'},"<e1>replacing</e1> a heating system including the <e2>heating appliance</e2>, pipework and heat emitters), the energy performance of the whole system should be assessed, and the results documented and handed over to the building owner with the manufacturers supporting literature.",none
5869233a-4fc0-48bf-9007-2b0c9a169fef,"A building shall, if its size, number of storeys or an intended purpose of a premises within the building so requires, be divided into fire compartments in order to restrict the spread of fire and smoke, to provide safe evacuation and to facilitate rescue and extinguishing measures.",{'ID': '100_Finnish_FireSafety'},"A building shall, if its size, <e1>number of storeys</e1> or an intended purpose of a premises within the building so <e2>requires</e2>, be divided into fire compartments in order to restrict the spread of fire and smoke, to provide safe evacuation and to facilitate rescue and extinguishing measures.",selection
