example_id,content,processed_content,label,metadata
e43c1e88-be80-42d9-944e-1bf0f0f82479,Individual flights are: for gradients up to 1:15 not more than 10m long; for gradients up to 1:12 not more than 5m long.,Individual flights are : for gradients up to 1:15 not more than 10m long ; for gradients up to 1:12 not more than 5m long .,B-quality B-object O O O B-property O O B-value O O O B-value B-property O O B-property O O B-value O O O B-value B-property O,{'ID': '18_UK_DocM_V1_AccessAndUseOfBuildings'}
7a1bc727-1daa-4668-83f6-b44327b96898,"In glazed balconies, the spread of fire from one balcony to another and to an adjacent fire compartment must be restricted.","In glazed balconies , the spread of fire from one balcony to another and to an adjacent fire compartment must be restricted .",O B-quality B-object O O B-property I-property I-property B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O O B-quality O,{'ID': '133_Finnish_FireSafety'}
d504fd87-d13d-4936-9d7a-71d17954760d,The riser of the steps in an exit may be no more than 180 millimetres.,The riser of the steps in an exit may be no more than 180 millimetres .,O B-property O O B-object O O B-object O O O O O B-value I-value O,{'ID': '25_Finnish_SafetyOfUse'}
53bb982d-5260-4a69-a6dd-71e4f074e676,The depth of standing rows must be at least half a metre.,The depth of standing rows must be at least half a metre .,O B-property O B-object I-object O O O O B-value I-value I-value O,{'ID': '111_Finnish_SafetyOfUse'}
f398541a-81df-4380-a408-d7b1beaa7c92,"People should be able to see other people approaching from the opposite direction, thereby allowing sufficient reaction time for both parties to avoid a collision.","People should be able to see other people approaching from the opposite direction , thereby allowing sufficient reaction time for both parties to avoid a collision .",B-object O O O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '68_UK_DocM_V2_AccessAndUseOfBuildings'}
72d93d34-a477-4505-9754-e7ca2c59b6ec,The building should be constructed to meet requirement O1 using passive means as far as reasonably practicable.,The building should be constructed to meet requirement O1 using passive means as far as reasonably practicable .,O B-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '63_UK_DocO_Overheating'}
3f31e50a-cdcc-412c-a363-2bfdfb507770,"For an electrically operated appliance, an integral remote or thermostatic control should be provided.","For an electrically operated appliance , an integral remote or thermostatic control should be provided .",O O B-object I-object I-object O O B-object I-object O B-object I-object O O O O,{'ID': '277_UK_DocL_V1_ConsrvationOfFuelAndPower'}
a7e4ad57-ea09-4d8e-8b3a-4d33447237ab,"The free opening of the vertical hatch or window of an emergency exit must be at least 600 millimetres in height and 500 millimetres in width; however, the sum of these must be at least 1,500 millimetres.","The free opening of the vertical hatch or window of an emergency exit must be at least 600 millimetres in height and 500 millimetres in width ; however , the sum of these must be at least 1,500 millimetres .",O B-quality B-property O O B-quality B-object O B-object O O B-object I-object O O O O B-value I-value O B-property O B-value I-value O B-property O O O O B-property O O O O O O B-value I-value O,{'ID': '83_Finnish_SafetyOfUse'}
f7f1a609-ae35-4544-9b38-e471d7a00666,"In order to enhance the efficiency of firefighting and rescue operations, means of smoke extraction shall be designed and constructed in the building so that smoke can be extracted from the different premises in the building.","In order to enhance the efficiency of firefighting and rescue operations , means of smoke extraction shall be designed and constructed in the building so that smoke can be extracted from the different premises in the building .",O O B-quality I-quality O B-property O B-object I-object I-object I-object O B-object O B-quality I-quality O O B-quality I-quality I-quality O O B-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '249_Finnish_FireSafety'}
2b60007d-59a3-4a18-a184-89e76ee17454,Masonry construction: external or cavity wall insulation should extend below the damp-proof course (where applicable) and be at least the equivalent of one full block height (215mm) below the underside of the floor structure/slab and beyond the depth of the floor insulation.,Masonry construction : external or cavity wall insulation should extend below the damp-proof course ( where applicable ) and be at least the equivalent of one full block height ( 215mm ) below the underside of the floor structure/slab and beyond the depth of the floor insulation .,B-quality B-object O B-quality O B-quality B-object B-object O B-quality I-quality I-quality I-quality I-quality O O O O O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '161_UK_DocL_V1_ConsrvationOfFuelAndPower'}
f4b90866-b477-4fe0-a96f-3d6e0d1bd2f6,The annual percentage of heat supplied from each heat source should be the same for each newly connected dwelling.,The annual percentage of heat supplied from each heat source should be the same for each newly connected dwelling .,O B-property I-property I-property I-property B-quality I-quality I-quality I-quality I-quality O O O B-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '79_UK_DocL_V1_ConsrvationOfFuelAndPower'}
34a524ec-6994-426f-86af-78788fd34a80,"Between the locking points for the mortice lock and surface-mounted rim lock, the distance should be 400-600mm.","Between the locking points for the mortice lock and surface-mounted rim lock , the distance should be 400-600mm .",B-quality I-quality I-quality I-quality O O B-object I-object O B-quality B-object I-object O O B-property O O B-value O,{'ID': '36_UK_DocQ_Security_Dwellings'}
b02f9b87-d934-4c2f-8a59-b3b8c0a7be17,"Instantaneous or snapshot CO2 readings can be misleading, so several measurements should be taken throughout the day.","Instantaneous or snapshot CO2 readings can be misleading , so several measurements should be taken throughout the day .",B-quality O B-quality B-object I-object O O B-quality O O B-quality B-object O O B-quality I-quality I-quality I-quality O,{'ID': '124_UK_DocF_V2_Ventilation'}
9d522aad-d404-4a57-83f9-474c95932b9e,Handrails should be spaced away from the wall and rigidly supported in a way that avoids impeding finger grip.,Handrails should be spaced away from the wall and rigidly supported in a way that avoids impeding finger grip .,B-object O O B-quality I-quality I-quality I-quality I-quality O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '57_UK_DocM_V2_AccessAndUseOfBuildings'}
61630012-3ff7-44cb-af91-7845be0b6f79,"How the measurements can help you take action CO2 measurements should be used as a broad guide to ventilation within a space, rather than treated as safe thresholds.","How the measurements can help you take action CO2 measurements should be used as a broad guide to ventilation within a space , rather than treated as safe thresholds .",O O O O O O O O B-object I-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '126_UK_DocF_V2_Ventilation'}
ba93ede4-473f-4c07-b439-3699580cbcbe,No individual flight has a rise of more than 1800mm between landings.,No individual flight has a rise of more than 1800mm between landings .,O B-quality B-object O O B-property O O O B-value B-quality I-quality O,{'ID': '21_UK_DocM_V1_AccessAndUseOfBuildings'}
d5e2fb3e-df0c-48bd-8a09-734822ff086d,"For emergency repairs, if it is not possible to notify the building control body in advance, the building control body should be notified as soon as possible.","For emergency repairs , if it is not possible to notify the building control body in advance , the building control body should be notified as soon as possible .",O B-object I-object O O O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O O B-object I-object I-object O O B-quality I-quality I-quality I-quality I-quality O,{'ID': '4_UK_DocF_V1_Ventilation'}
61016afd-5449-4b1a-8fe5-86705f07d817,Products to be used in the water system shall be suitable for conveying household water.,Products to be used in the water system shall be suitable for conveying household water .,B-object O O O O O B-object I-object O O B-quality I-quality I-quality I-quality I-quality O,{'ID': '55_Finnish_Health-WaterAndSewerage'}
3d436e01-915c-403d-8e80-5b5fbfaa9b0d,Cooling pipework should be insulated along its whole length.,Cooling pipework should be insulated along its whole length .,B-object I-object O O B-quality I-quality I-quality I-quality I-quality O,{'ID': '176_UK_DocM_V2_AccessAndUseOfBuildings'}
b6a045c9-d3a7-4144-a390-8dd21252078d,Drawings should be provided for junctions.,Drawings should be provided for junctions .,B-object O O B-quality I-quality I-quality O,{'ID': '153_UK_DocL_V1_ConsrvationOfFuelAndPower'}
a2f3a871-91d5-4777-95c9-4744792b3a69,"in an existing building, for the principal or main staff entrance or entrances to be accessible, an alternative accessible entrance should be provided.","in an existing building , for the principal or main staff entrance or entrances to be accessible , an alternative accessible entrance should be provided .",O O B-quality B-object O O O B-quality O B-quality I-quality B-object O B-object O O B-quality O O B-quality B-quality B-object O O O O,{'ID': '61_UK_DocM_V2_AccessAndUseOfBuildings'}
d43e4877-601c-43eb-9d33-96945754374b,Good acoustic design should be employed to achieve an acoustic environment that is neither too reverberant nor too absorbent so that announcements and conversations can be heard clearly.,Good acoustic design should be employed to achieve an acoustic environment that is neither too reverberant nor too absorbent so that announcements and conversations can be heard clearly .,B-quality B-object I-object O O B-quality I-quality I-quality O B-object I-object B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '99_UK_DocM_V2_AccessAndUseOfBuildings'}
e4fb8d18-8dbc-4351-a2df-d87f880f476a,The fire resistance time requirement for balconies is half that of the load-bearing structures of the storey.,The fire resistance time requirement for balconies is half that of the load-bearing structures of the storey .,O B-property I-property I-property I-property O B-object O B-value O O O B-object I-object O O B-object O,{'ID': '90_Finnish_FireSafety'}
ef9dc94d-b79c-4fba-897a-eed2b90084b2,"Thermal bridging, including at the party wall, should be reasonably limited.","Thermal bridging , including at the party wall , should be reasonably limited .",B-object I-object O B-quality I-quality I-quality I-quality I-quality O O O B-quality I-quality O,{'ID': '150_UK_DocM_V2_AccessAndUseOfBuildings'}
7323113d-fcd0-4e19-a24a-c6171ec8c2b7,District heat networks and community heating systems should be designed to accommodate heat meter(s) for each dwelling.,District heat networks and community heating systems should be designed to accommodate heat meter ( s ) for each dwelling .,B-object I-object I-object O B-object I-object I-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '295_UK_DocL_V1_ConsrvationOfFuelAndPower'}
12907c6f-e734-436d-a7de-c8a1626fbe92,"Both:the area of rooflights exceeds 20 of the area of the roof, and the design solar load exceeds 25W/m2.","Both : the area of rooflights exceeds 20 of the area of the roof , and the design solar load exceeds 25W/m2 .",O O O B-property O B-object O B-value O O B-property O O B-object O O O B-property I-property I-property O B-value O,{'ID': '496_UK_DocM_V2_AccessAndUseOfBuildings'}
082c7ed9-3579-48c2-a0d2-076f1edd647c,"Each of the two sections of the centrally hinged window should be assessed as a single side, bottom or top hung window.","Each of the two sections of the centrally hinged window should be assessed as a single side , bottom or top hung window .",O O O B-value B-property O O B-quality I-quality B-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '112_UK_DocO_Overheating'}
746c2a1e-aa29-4913-b431-c415290a9f4b,controls should be inspected to ensure that the following have been achieved.,controls should be inspected to ensure that the following have been achieved .,B-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '220_UK_DocF_V1_Ventilation'}
8cef7dc5-2d76-4dd8-80c5-6861b11a8f6f,"Where the work concerns a building containing more than one dwelling, the work must be carried out so as to ensure that the building is equipped in addition with a common access point for gigabit-capable public electronic communications networks.","Where the work concerns a building containing more than one dwelling , the work must be carried out so as to ensure that the building is equipped in addition with a common access point for gigabit-capable public electronic communications networks .",O O B-object O O B-object O O O B-value B-object O O B-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '3_UK_DocR_V1_InfrastructureForElectircalCommunications'}
8805ec9f-3f5f-44fc-9078-3ae62439c973,"NOTE: When a single U-value is calculated for a product range of doors, the configuration of the door chosen for the calculation should be the worst performing in the product range.","NOTE : When a single U-value is calculated for a product range of doors , the configuration of the door chosen for the calculation should be the worst performing in the product range .",O O O O B-quality B-property O B-quality I-quality I-quality I-quality I-quality I-quality I-quality O O B-property O O B-object B-quality I-quality I-quality I-quality O O O B-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '108_UK_DocL_V1_ConsrvationOfFuelAndPower'}
aac9b625-4f6b-42e6-b657-2accd6054607,Heating systems for screed floors that are greater than 65mm thick should automatically reduce the room temperature at night or when the room is unoccupied.,Heating systems for screed floors that are greater than 65mm thick should automatically reduce the room temperature at night or when the room is unoccupied .,B-object I-object O B-object I-object O O O O B-value B-property O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '299_UK_DocL_V1_ConsrvationOfFuelAndPower'}
26980508-105c-49db-8595-bf001a48d757,"In rooms with no fixed seats or furnishings, the number of persons shall be calculated to be two persons per square metre.","In rooms with no fixed seats or furnishings , the number of persons shall be calculated to be two persons per square metre .",O B-object O O B-quality B-object O B-object O O B-property I-property I-property O O O O O B-value I-value I-value I-value I-value O,{'ID': '103_Finnish_SafetyOfUse'}
8edf6848-bdc2-4970-8328-5a24d69a2f0d,"Unit length should be measured through midline of the worktop, not the front or rear edge.","Unit length should be measured through midline of the worktop , not the front or rear edge .",B-property I-property O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '94_UK_DocM_V1_AccessAndUseOfBuildings'}
01008f69-874b-443e-bcb2-2f5630280049,"If stairs are used only as an emergency exit and if they lead to spaces in a dwelling or accommodation facility other than those that are necessary for living, the riser may be no more than 220 millimetres and the tread must be no less than 220 millimetres.","If stairs are used only as an emergency exit and if they lead to spaces in a dwelling or accommodation facility other than those that are necessary for living , the riser may be no more than 220 millimetres and the tread must be no less than 220 millimetres .",O B-object O B-quality I-quality I-quality I-quality I-quality I-quality O O B-object B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O O B-property O O O O O B-value I-value O O B-property O O O O O B-value I-value O,{'ID': '24_Finnish_SafetyOfUse'}
ad792658-a7d2-4d6e-9a21-c531bb02b521,To reduce the risks to the health of persons in buildings formaldehyde fumes given off by urea formaldehyde foams should not penetrate to the occupied parts of buildings to an extent which would give rise to an irritant concentration.,To reduce the risks to the health of persons in buildings formaldehyde fumes given off by urea formaldehyde foams should not penetrate to the occupied parts of buildings to an extent which would give rise to an irritant concentration .,B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality B-object I-object B-quality I-quality I-quality I-quality I-quality I-quality O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '12_UK_DocD_ToxicSubstances'}
b0e99ac5-9cbc-4beb-b8ff-85383ae70ea8,"The approach route should be safe and convenient, adopt the shallowest gradient that can reasonably be achieved and be step-free, irrespective of the storey on which the dwelling is located.","The approach route should be safe and convenient , adopt the shallowest gradient that can reasonably be achieved and be step-free , irrespective of the storey on which the dwelling is located .",O B-object I-object O O B-quality O B-quality O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O O B-quality O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '40_UK_DocM_V1_AccessAndUseOfBuildings'}
1913381b-a2cc-496e-9168-82ccf2a01d50,"In connection with repair and alteration work, the heat emitters connected to the domestic hot water ring duct may be replaced so that the heat emission capacity of the heat emitters to be installed does not exceed 200 Watts per room.","In connection with repair and alteration work , the heat emitters connected to the domestic hot water ring duct may be replaced so that the heat emission capacity of the heat emitters to be installed does not exceed 200 Watts per room .",B-quality I-quality I-quality I-quality I-quality I-quality I-quality O O B-object I-object O O O B-quality B-object I-object I-object I-object O O B-quality O O O B-property I-property I-property O O B-object I-object B-quality I-quality I-quality O O O B-value I-value I-value I-value O,{'ID': '67_Finnish_Health-WaterAndSewerage'}
76bf63bd-30f4-440d-81a0-61ca16170f70,Control should be maximised and heat gain to uninsulated pipes should only be permitted where the proportion of the cooling load relating to distribution pipework is less than 1 of the total load.,Control should be maximised and heat gain to uninsulated pipes should only be permitted where the proportion of the cooling load relating to distribution pipework is less than 1 of the total load .,B-property O O B-quality O B-property I-property O B-quality B-object O O O B-quality O O B-property I-property I-property I-property I-property I-property I-property I-property I-property O O O B-value O O B-property I-property O,{'ID': '177_UK_DocM_V2_AccessAndUseOfBuildings'}
d5b6ff18-626d-4e6f-b788-0c67f7a4ebab,"If the cost of installing the required electric vehicle charge point and cable routes for electric vehicle charge points exceeds 7% of the total cost of the major renovation (a) such a building is exempt from the requirement to install the electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of parking spaces, except where the cost of that installation exceeds 7% of the total cost of the major renovation.","If the cost of installing the required electric vehicle charge point and cable routes for electric vehicle charge points exceeds 7 % of the total cost of the major renovation ( a ) such a building is exempt from the requirement to install the electric vehicle charge point ; and ( b ) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of parking spaces , except where the cost of that installation exceeds 7 % of the total cost of the major renovation .",O O B-property O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O B-value I-value O O B-property I-property O O B-quality B-object O O O O O B-object O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O O O O O B-object I-object O B-object I-object I-object I-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O O O O B-property O O B-object O B-value I-value O O B-property I-property O O B-quality B-object O,{'ID': '75_UK_DocS_InfrastructureForChargingOfElectricalVehicles'}
fc8ee55c-408d-48a9-ae4c-a6961b5745ce,Biomass heating supplemented by an alternative appliance (e.g. gas) - the CO2 emission factor and primary energy factor should be based on a weighted average for the two fuels.,Biomass heating supplemented by an alternative appliance ( e.g . gas ) - the CO2 emission factor and primary energy factor should be based on a weighted average for the two fuels .,B-object I-object B-quality I-quality I-quality I-quality I-quality O O O O O O O B-property I-property I-property O B-property I-property I-property O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '59_UK_DocM_V2_AccessAndUseOfBuildings'}
e8340500-38b6-461b-b00d-d3aa44ac1f0b,The temperature of the water available from the hot water system may not exceed 65 degrees Celsius.,The temperature of the water available from the hot water system may not exceed 65 degrees Celsius .,O B-property O O B-object O O O B-object I-object I-object O O O B-value I-value I-value O,{'ID': '62_Finnish_Health-WaterAndSewerage'}
b5d2186d-338d-40b6-b3b4-7fadf3cfd4e0,"For district cooling schemes, the CO2 and primary energy content of the cooling energy supplied should be calculated.","For district cooling schemes , the CO2 and primary energy content of the cooling energy supplied should be calculated .",O B-object I-object I-object O O B-property O B-property I-property I-property O O B-object I-object B-quality O O B-quality O,{'ID': '286_UK_DocM_V2_AccessAndUseOfBuildings'}
a48aade7-5532-4424-a39e-5b1638516702,The effective g-value should be no worse than 0.3.,The effective g-value should be no worse than 0.3 .,O B-quality B-object O O B-quality I-quality I-quality I-quality O,{'ID': '350_UK_DocM_V2_AccessAndUseOfBuildings'}
eeb4239f-3819-475c-ad20-756bed80c4ff,"In reference heat loss calculations, the value used as the annual efficiency of heat recovery from ventilation extract air of the buildings ventilation system shall be 55.","In reference heat loss calculations , the value used as the annual efficiency of heat recovery from ventilation extract air of the buildings ventilation system shall be 55 .",O O O O O O O O O O O B-property I-property I-property I-property I-property I-property I-property I-property I-property O O B-object B-object I-object O O B-value O,{'ID': '151_Finnish_EnergyEfficiency'}
fb5d3054-4911-4049-ba09-1c3e80f9c07c,"The tread of steps in uncovered or unheated outdoor staircases must be no less than 390 millimetres, and the riser may be no more than 130 millimetres.","The tread of steps in uncovered or unheated outdoor staircases must be no less than 390 millimetres , and the riser may be no more than 130 millimetres .",O B-property O B-object O B-quality O B-quality B-quality B-object O O O O O B-value I-value O O O B-property O O O O O B-value I-value O,{'ID': '29_Finnish_SafetyOfUse'}
b6b19c38-b160-475d-b01d-e3880ca00ab2,"Where necessary, flexible ducts may be used for final connections, but their lengths should be kept to a minimum.","Where necessary , flexible ducts may be used for final connections , but their lengths should be kept to a minimum .",O O O B-object I-object O O O O B-quality B-object O O B-object B-property O O B-quality I-quality I-quality I-quality O,{'ID': '31_UK_DocF_V2_Ventilation'}
0f32fab3-c03b-400c-949a-cc95828a89d3,The specification of comfort cooling systems should be based on a heat gain calculation for the dwelling.,The specification of comfort cooling systems should be based on a heat gain calculation for the dwelling .,O B-property O B-object I-object I-object O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '330_UK_DocL_V1_ConsrvationOfFuelAndPower'}
8f2f0722-46e5-4c3a-937d-51edde58141a,Routes intended for vehicle traffic must be located in a way that does not restrict pedestrian routes or the space required for opening doors and gates.,Routes intended for vehicle traffic must be located in a way that does not restrict pedestrian routes or the space required for opening doors and gates .,B-object B-quality I-quality I-quality I-quality O O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O,{'ID': '90_Finnish_SafetyOfUse'}
5b1fe636-d2aa-4382-885e-a4f8a2cae4d4,"Generally, a thermal element once upgraded should not have a U-value greater than 0.7W/(m2K).","Generally , a thermal element once upgraded should not have a U-value greater than 0.7W/ ( m2K ) .",O O O B-object I-object O B-quality O O O O B-property O O B-value I-value I-value I-value O,{'ID': '125_UK_DocL_V1_ConsrvationOfFuelAndPower'}
8b1482fe-5e9d-4b44-9157-a8de35c65ba9,"If an exposed facade is close to an area of sustained and loud noise (e.g. a main road), then a noise-attenuating background ventilator should be fitted.","If an exposed facade is close to an area of sustained and loud noise ( e.g . a main road ) , then a noise-attenuating background ventilator should be fitted .",O O B-quality B-object O B-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality I-quality O O O O O O O O O O B-object I-object I-object O O O O,{'ID': '86_UK_DocF_V1_Ventilation'}
