id,text,text-fixed
149_UK_UK_Approved_Document_A,Note: With reference to ‘design checks’ in the referenced Institution of Structural Engineers’ Technical Publication the choice of various partial factors should be made to suit the individual circumstances of each case.,Note: With reference to ‘design checks’ in the referenced Institution of Structural Engineers’ Technical Publication the choice of various partial factors should be made to suit the individual circumstances of each case.
152_UK_UK_Approved_Document_A,"Pier A member which forms an integral part of a wall, in the form of a thickened section at intervals along the wall, so as to afford lateral support to the wall to which it is bonded or securely tied.","Pier A member which forms an integral part of a wall, in the form of a thickened section at intervals along the wall, so as to afford lateral support to the wall to which it is bonded or securely tied."
153_UK_UK_Approved_Document_A,"Separating wall A wall or part of a wall which is common to adjoining buildings, and constructed to meet the requirements of regulation B3(2).","Separating wall A wall or part of a wall which is common to adjoining buildings, and constructed to meet the requirements of regulation B3(2)."
154_UK_UK_Approved_Document_A,"Spacing The distance between the longitudinal centres of any two adjacent timber members of the same type, measured in the plane of floor, ceiling or roof structure.","Spacing The distance between the longitudinal centres of any two adjacent timber members of the same type, measured in the plane of floor, ceiling or roof structure."
155_UK_UK_Approved_Document_A,Span The distance measured along the centre line of a member between the centres of any two adjacent bearings or supports.,Span The distance measured along the centre line of a member between the centres of any two adjacent bearings or supports.
156_UK_UK_Approved_Document_A,"Supported wall A wall to which lateral support is afforded by a combination of buttressing walls, piers or chimneys acting in conjunction with floor(s) or roof.","Supported wall A wall to which lateral support is afforded by a combination of buttressing walls, piers or chimneys acting in conjunction with floor(s) or roof."
157_UK_UK_Approved_Document_A,Wind load The load due to the effect of wind pressure or suction.,Wind load The load due to the effect of wind pressure or suction.
159_UK_UK_Approved_Document_A,This section is presented as follows:,This section is presented as follows:
161_UK_UK_Approved_Document_A,Basic requirements for stability.,Basic requirements for stability.
163_UK_UK_Approved_Document_A,Sizes of certain timber members in floors and roofs for dwellings.,Sizes of certain timber members in floors and roofs for dwellings.
164_UK_UK_Approved_Document_A,Areas at risk from house longhorn beetle.,Areas at risk from house longhorn beetle.
166_UK_UK_Approved_Document_A,"Thickness of masonry walls in certain residential buildings of not more than three storeys, small single-storey non-residential buildings and annexes.","Thickness of masonry walls in certain residential buildings of not more than three storeys, small single-storey non-residential buildings and annexes."
168_UK_UK_Approved_Document_A,Proportions for masonry chimneys.,Proportions for masonry chimneys.
170_UK_UK_Approved_Document_A,Foundations of plain concrete.,Foundations of plain concrete.
171_UK_UK_Approved_Document_A,Section 2A gives general rules which must 2.2 be observed in following Sections 2B and 2C. Sections 2B to 2E may be used independently of each other.,Section 2A gives general rules which must 2.2 be observed in following Sections 2B and 2C. Sections 2B to 2E may be used independently of each other.
172_UK_UK_Approved_Document_A,Throughout this section the diagrams are only illustrative and do not show all the details of construction.,Throughout this section the diagrams are only illustrative and do not show all the details of construction.
174_UK_UK_Approved_Document_A,throughout this section:,The following meanings apply to terms throughout this section:
175_UK_UK_Approved_Document_A,"The following meanings apply to terms Buttressing wall A wall designed and constructed to afford lateral support to another wall perpendicular to it, support being provided from the base to the top of the wall.","Buttressing wall A wall designed and constructed to afford lateral support to another wall perpendicular to it, support being provided from the base to the top of the wall."
176_UK_UK_Approved_Document_A,Cavity width The horizontal distance between the two leaves of a cavity wall.,Cavity width The horizontal distance between the two leaves of a cavity wall.
177_UK_UK_Approved_Document_A,Compartment wall A wall constructed as a compartment wall to meet the requirements of regulation B3(2).,Compartment wall A wall constructed as a compartment wall to meet the requirements of regulation B3(2).
178_UK_UK_Approved_Document_A,"Dead load The load due to the weight of all walls, permanent partitions, floors, roofs and finishes including services, and all other permanent construction.","Dead load The load due to the weight of all walls, permanent partitions, floors, roofs and finishes including services, and all other permanent construction."
179_UK_UK_Approved_Document_A,"Imposed load The load assumed to be produced by the intended occupancy or use, including the weight of movable partitions, distributed, concentrated, impact, inertia and snow loads, but excluding wind loads.","Imposed load The load assumed to be produced by the intended occupancy or use, including the weight of movable partitions, distributed, concentrated, impact, inertia and snow loads, but excluding wind loads."
183_UK_UK_Approved_Document_A,This section must be used in conjunction with sections 2B and 2C and its principles relate to all forms of low-rise residential buildings.,This section must be used in conjunction with sections 2B and 2C and its principles relate to all forms of low-rise residential buildings.
184_UK_UK_Approved_Document_A,Adequate provision shall be made to ensure that the building is stable under the likely imposed and wind loading conditions.,Adequate provision shall be made to ensure that the building is stable under the likely imposed and wind loading conditions.
185_UK_UK_Approved_Document_A,This will commonly necessitate meeting the following requirements:,This will commonly necessitate meeting the following requirements:
186_UK_UK_Approved_Document_A,That the overall size and proportioning of the building are limited in accordance with the specific guidance for each form of construction.,That the overall size and proportioning of the building are limited in accordance with the specific guidance for each form of construction.
187_UK_UK_Approved_Document_A,That a suitable layout of walls (both internal and external) forming a robust 3 dimensional box structure in plan is constructed with restriction on the maximum size of cells measured in accordance with the specific guidance for each form of construction.,That a suitable layout of walls (both internal and external) forming a robust 3 dimensional box structure in plan is constructed with restriction on the maximum size of cells measured in accordance with the specific guidance for each form of construction.
188_UK_UK_Approved_Document_A,That the internal and external walls are adequately connected either by masonry bonding or by using mechanical connections.,That the internal and external walls are adequately connected either by masonry bonding or by using mechanical connections.
189_UK_UK_Approved_Document_A,That the intermediate floors and roof are of such construction and interconnection with the walls that they provide local support to the walls and also act as horizontal diaphragms capable of transferring the wind forces to buttressing elements of the building.,That the intermediate floors and roof are of such construction and interconnection with the walls that they provide local support to the walls and also act as horizontal diaphragms capable of transferring the wind forces to buttressing elements of the building.
190_UK_UK_Approved_Document_A,"Note: A traditional cut timber roof (i.e. using rafters, purlins and ceiling joists) generally has sufficient built in resistance to instability and wind forces (e.g. from hipped ends, tiling battens, rigid sarking or the like).","Note: A traditional cut timber roof (i.e. using rafters, purlins and ceiling joists) generally has sufficient built in resistance to instability and wind forces (e.g. from hipped ends, tiling battens, rigid sarking or the like)."
191_UK_UK_Approved_Document_A,"However, the need for diagonal rafter bracing equivalent to that recommended in BS EN 1995-1-1:2004 with its UK National Annex and additional guidance given in BSI Published Document PD 6693-1:2012 and BS 8103-3:2009 for trussed rafter roofs should be considered, especially for single-hipped and non-hipped roofs of greater than 40° pitch to detached houses.","However, the need for diagonal rafter bracing equivalent to that recommended in BS EN 1995-1-1:2004 with its UK National Annex and additional guidance given in BSI Published Document PD 6693-1:2012 and BS 8103-3:2009 for trussed rafter roofs should be considered, especially for single-hipped and non-hipped roofs of greater than 40° pitch to detached houses."
194_UK_UK_Approved_Document_A,Section 2B: Sizes of certain timber members in floors and roofs for dwellings.,Section 2B: Sizes of certain timber members in floors and roofs for dwellings.
197_UK_UK_Approved_Document_A,"Guidance on the sizing of certain members in floors and roofs is given in ‘Span tables for solid timber members in floors, ceilings and roofs (excluding trussed rafter roofs) for dwellings’, published by TRADA, available from Chiltern House, Stocking Lane, Hughenden Valley, High Wycombe, Bucks HP14 4ND.","Guidance on the sizing of certain members in floors and roofs is given in ‘Span tables for solid timber members in floors, ceilings and roofs (excluding trussed rafter roofs) for dwellings’, published by TRADA, available from Chiltern House, Stocking Lane, Hughenden Valley, High Wycombe, Bucks HP14 4ND."
200_UK_UK_Approved_Document_A,"rise buildings, Code of practice for timber floors and roofs for housing.","Alternative guidance is available in BS EN 1995-1-1:2004 Design of timber structures with its UK National Annex and additional guidance given in BSI Published Document PD 6693-1:2012 and also BS 8103-3:2009 Structural design of low-rise buildings, Code of practice for timber floors and roofs for housing."
202_UK_UK_Approved_Document_A,"Table 1, softwood timber for roof construction or fixed in the roof space, including ceiling joists within the void spaces of the roof, should be adequately treated to prevent infestation by the house longhorn beetle (Hylotrupes bajulus L.).","In the geographical areas specified in Table 1, softwood timber for roof construction or fixed in the roof space, including ceiling joists within the void spaces of the roof, should be adequately treated to prevent infestation by the house longhorn beetle (Hylotrupes bajulus L.)."
203_UK_UK_Approved_Document_A,"Guidance on suitable preservative treatments is given within The Wood Protection Association’s manual ‘Industrial Wood Preservation: Specification and Practice’ (2012), available from 5C Flemming Court, Castleford, West Yorkshire, WF10 5HW.","Guidance on suitable preservative treatments is given within The Wood Protection Association’s manual ‘Industrial Wood Preservation: Specification and Practice’ (2012), available from 5C Flemming Court, Castleford, West Yorkshire, WF10 5HW."
206_UK_UK_Approved_Document_A,In the Borough of Bracknell Forest the parishes of Sandhurst and Crowthorne.,In the Borough of Bracknell Forest the parishes of Sandhurst and Crowthorne.
215_UK_UK_Approved_Document_A,Structure Approved Document AONLINE VERSIONONLINE VERSION Section 2C:,Structure Approved Document AONLINE VERSIONONLINE VERSION Section 2C:
219_UK_UK_Approved_Document_A,This section applies to the following building types:,This section applies to the following building types:
220_UK_UK_Approved_Document_A,residential buildings of not more than three storeys;,residential buildings of not more than three storeys;
221_UK_UK_Approved_Document_A,small single-storey non-residential buildings;,small single-storey non-residential buildings;
222_UK_UK_Approved_Document_A,small buildings forming annexes to residential buildings (including garages and outbuildings).,small buildings forming annexes to residential buildings (including garages and outbuildings).
224_UK_UK_Approved_Document_A,"Only the types of wall given in Table 2, which must extend to the full storey height, and parapet walls are considered in this section.","Only the types of wall given in Table 2, which must extend to the full storey height, and parapet walls are considered in this section."
226_UK_UK_Approved_Document_A,When using this section it should be noted that:,When using this section it should be noted that:
227_UK_UK_Approved_Document_A,this section must be used in conjunction with section 2A;,this section must be used in conjunction with section 2A;
228_UK_UK_Approved_Document_A,"if wall thickness is to be determined according to paragraphs 2C5 to 2C13, all appropriate design conditions given in this section must be satisfied;","if wall thickness is to be determined according to paragraphs 2C5 to 2C13, all appropriate design conditions given in this section must be satisfied;"
229_UK_UK_Approved_Document_A,"walls should comply with the relevant requirements of BS EN 1996-2:2006 with its UK National Annex and additional guidance given in BSI Published Document PD 6697:2010, except as regards the conditions given in paragraphs 2C4 and 2C14 to 2C38;","walls should comply with the relevant requirements of BS EN 1996-2:2006 with its UK National Annex and additional guidance given in BSI Published Document PD 6697:2010, except as regards the conditions given in paragraphs 2C4 and 2C14 to 2C38;"
230_UK_UK_Approved_Document_A,in formulating the guidance of this section the worst combination of circumstances likely to arise was taken into account.,in formulating the guidance of this section the worst combination of circumstances likely to arise was taken into account.
231_UK_UK_Approved_Document_A,"If a requirement of this part is considered too onerous in a particular case it may be appropriate to consider a minor departure on the basis of judgement and experience, or to show adequacy by calculation in respect of the aspect of the wall which is subject to the departure rather than for the entire wall;","If a requirement of this part is considered too onerous in a particular case it may be appropriate to consider a minor departure on the basis of judgement and experience, or to show adequacy by calculation in respect of the aspect of the wall which is subject to the departure rather than for the entire wall;"
232_UK_UK_Approved_Document_A,the guidance given is based upon the compressive strengths of bricks and blocks being not less than indicated in Tables 6 and 7.,the guidance given is based upon the compressive strengths of bricks and blocks being not less than indicated in Tables 6 and 7.
233_UK_UK_Approved_Document_A,BS EN 1996-1-1:2005 with its UK National Annex gives design strengths for walls where the suitability for use of masonry units of other compressive strengths is being considered.,BS EN 1996-1-1:2005 with its UK National Annex gives design strengths for walls where the suitability for use of masonry units of other compressive strengths is being considered.
235_UK_UK_Approved_Document_A,This section applies only to buildings having proportions within the following parameters (see Diagrams 1 and 2):,This section applies only to buildings having proportions within the following parameters (see Diagrams 1 and 2):
236_UK_UK_Approved_Document_A,residential buildings of not more than three storeys:,residential buildings of not more than three storeys:
237_UK_UK_Approved_Document_A,"the maximum height of the building measured from the lowest finished ground level adjoining the building to the highest point of any wall or roof should not be greater than 15m, subject to the limits of paragraph 2C16;","the maximum height of the building measured from the lowest finished ground level adjoining the building to the highest point of any wall or roof should not be greater than 15m, subject to the limits of paragraph 2C16;"
238_UK_UK_Approved_Document_A,the height of the building H should not exceed twice the least width of the building W1;,the height of the building H should not exceed twice the least width of the building W1;
239_UK_UK_Approved_Document_A,the height of the wing H2 should not exceed twice the least width of the wing W2 where the projection P exceeds twice the width W2;,the height of the wing H2 should not exceed twice the least width of the wing W2 where the projection P exceeds twice the width W2;
240_UK_UK_Approved_Document_A,"small single-storey non-residential buildings: height H should not exceed 3m and W (being the greatest length or width of the building) should not exceed 9m (see Diagram 2), subject to the limits of paragraph 2C16;","small single-storey non-residential buildings: height H should not exceed 3m and W (being the greatest length or width of the building) should not exceed 9m (see Diagram 2), subject to the limits of paragraph 2C16;"
241_UK_UK_Approved_Document_A,"annexes: height H as variously indicated in Diagram 2 should not exceed 3m, subject to the limits of paragraph 2C16.","annexes: height H as variously indicated in Diagram 2 should not exceed 3m, subject to the limits of paragraph 2C16."
256_UK_UK_Approved_Document_A,General wall thickness may be determined according to this section provided:,General wall thickness may be determined according to this section provided:
257_UK_UK_Approved_Document_A,"conditions relating to the building of which the wall forms part (see paragraphs 2C4, 2C14 to 2C16, 2C38); and","conditions relating to the building of which the wall forms part (see paragraphs 2C4, 2C14 to 2C16, 2C38); and"
258_UK_UK_Approved_Document_A,conditions relating to the wall (see paragraphs 2C17 to 2C37) are met.,conditions relating to the wall (see paragraphs 2C17 to 2C37) are met.
260_UK_UK_Approved_Document_A,"Solid external walls, compartment walls and separating walls in coursed brickwork or blockwork: Solid walls constructed of coursed brickwork or blockwork should be at least as thick as 1/16 of the storey height.","Solid external walls, compartment walls and separating walls in coursed brickwork or blockwork: Solid walls constructed of coursed brickwork or blockwork should be at least as thick as 1/16 of the storey height."
261_UK_UK_Approved_Document_A,Further requirements are given in Table 3.,Further requirements are given in Table 3.
262_UK_UK_Approved_Document_A,"Solid external walls, compartment walls and separating walls in uncoursed stone, flints, etc.:","Solid external walls, compartment walls and separating walls in uncoursed stone, flints, etc.:"
263_UK_UK_Approved_Document_A,"The thickness of walls constructed in uncoursed stone, flints, clunches, bricks or other burnt or vitrified material should not be less than 1.33 times the thickness determined by paragraph 2C6.","The thickness of walls constructed in uncoursed stone, flints, clunches, bricks or other burnt or vitrified material should not be less than 1.33 times the thickness determined by paragraph 2C6."
264_UK_UK_Approved_Document_A,Cavity walls in coursed brickwork or blockwork: All cavity walls should have leaves at least 90mm thick and cavities at least 50mm wide.,Cavity walls in coursed brickwork or blockwork: All cavity walls should have leaves at least 90mm thick and cavities at least 50mm wide.
265_UK_UK_Approved_Document_A,"The wall ties should have a horizontal spacing of 900mm and a vertical spacing of 450mm, or alternatively should be spaced such that the number of wall ties per square metre is not less than 2.5 ties/m2.","The wall ties should have a horizontal spacing of 900mm and a vertical spacing of 450mm, or alternatively should be spaced such that the number of wall ties per square metre is not less than 2.5 ties/m2."
266_UK_UK_Approved_Document_A,"Wall ties should also be provided, spaced not more than 300mm apart vertically, within a distance of 225mm from the vertical edges of all openings, movement joints and roof verges.","Wall ties should also be provided, spaced not more than 300mm apart vertically, within a distance of 225mm from the vertical edges of all openings, movement joints and roof verges."
267_UK_UK_Approved_Document_A,For selection of wall ties for use in a range of cavity widths refer to Table 5.,For selection of wall ties for use in a range of cavity widths refer to Table 5.
268_UK_UK_Approved_Document_A,For specification of cavity wall ties refer to paragraph 2C19.,For specification of cavity wall ties refer to paragraph 2C19.
269_UK_UK_Approved_Document_A,"For external walls, compartment walls and separating walls in cavity construction, the combined thickness of the two leaves plus 10mm should not be less than the thickness determined by paragraph 2C6 and Table 3 for a solid wall of the same height and length.","For external walls, compartment walls and separating walls in cavity construction, the combined thickness of the two leaves plus 10mm should not be less than the thickness determined by paragraph 2C6 and Table 3 for a solid wall of the same height and length."
270_UK_UK_Approved_Document_A,"Walls providing vertical support to other walls: Irrespective of the material used in the construction, a wall should not be less in thickness than any part of the wall to which it gives vertical support.","Walls providing vertical support to other walls: Irrespective of the material used in the construction, a wall should not be less in thickness than any part of the wall to which it gives vertical support."
295_UK_UK_Approved_Document_A,"except for a wall in the lowest storey of a three storey building, carrying load from both upper storeys, which should have a thickness as determined by the equation or 140mm whichever is the greatest.","except for a wall in the lowest storey of a three storey building, carrying load from both upper storeys, which should have a thickness as determined by the equation or 140mm whichever is the greatest."
296_UK_UK_Approved_Document_A,"Maximum floor area: The guidance of this section assumes that no floor enclosed by structural walls on all sides exceeds 70m2, and that no floor without a structural wall on one side exceeds 36m2.","Maximum floor area: The guidance of this section assumes that no floor enclosed by structural walls on all sides exceeds 70m2, and that no floor without a structural wall on one side exceeds 36m2."
298_UK_UK_Approved_Document_A,Parapet walls: The minimum thickness and maximum height of parapet walls should be as given in Diagram 4.,Parapet walls: The minimum thickness and maximum height of parapet walls should be as given in Diagram 4.
300_UK_UK_Approved_Document_A,"storey non-residential buildings and of annexes need be only 90mm thick, notwithstanding paragraphs 2C38.","storey non-residential buildings and of annexes need be only 90mm thick, notwithstanding paragraphs 2C38."
301_UK_UK_Approved_Document_A,"Modular bricks and blocks: Where walls are constructed of bricks or blocks having modular dimensions, wall thicknesses prescribed in this section which derive from a dimension of brick or block may be reduced by an amount not exceeding the deviation from work size permitted by a British Standard relating to equivalent sized bricks or blocks made of the same material.","Modular bricks and blocks: Where walls are constructed of bricks or blocks having modular dimensions, wall thicknesses prescribed in this section which derive from a dimension of brick or block may be reduced by an amount not exceeding the deviation from work size permitted by a British Standard relating to equivalent sized bricks or blocks made of the same material."
302_UK_UK_Approved_Document_A,"Imposed loads on roofs, floors and ceilings: The design considerations given in this section are intended to be adequate for the imposed loads given in Table 4.","Imposed loads on roofs, floors and ceilings: The design considerations given in this section are intended to be adequate for the imposed loads given in Table 4."
303_UK_UK_Approved_Document_A,Maximum height of buildings: The design guidance in this section is based on BS EN 1991-1-4:2005 with its UK National Annex.,Maximum height of buildings: The design guidance in this section is based on BS EN 1991-1-4:2005 with its UK National Annex.
304_UK_UK_Approved_Document_A,The maximum heights of buildings given in Table c of Diagram 7 correlate to various site exposure conditions and wind speeds.,The maximum heights of buildings given in Table c of Diagram 7 correlate to various site exposure conditions and wind speeds.
305_UK_UK_Approved_Document_A,A map showing wind speeds is given in Figure 1 of Diagram 6.,A map showing wind speeds is given in Figure 1 of Diagram 6.
307_UK_UK_Approved_Document_A,"Maximum allowable length and height of the wall: This section does not deal with walls longer than 12m, measured from centre to centre of buttressing walls, piers or chimneys providing restraint, or with walls exceeding 12m in height (see also Table 3).","Maximum allowable length and height of the wall: This section does not deal with walls longer than 12m, measured from centre to centre of buttressing walls, piers or chimneys providing restraint, or with walls exceeding 12m in height (see also Table 3)."
