object,property,quality,value
electric vehicle charge points,product certificate,set to a significantly closed position to achieve the required air flow rate,190 kN
rooms,performance standards,ventilated,adequate number
non-residential building,travel,used to calculate,01:08:00
building's,heat recovery,fixed,35 mg/m3 (30 ppm)
waste water,heat exchanger area,added  to  the  thermal  load  of  the  spaces  of  the  building,adequate means
drainage point,absence,being installed,certain proportion
exits,boiler type,PAS 3621 (key locking on both sides),"1,000 millimetres"
fire compartment,design temperature difference,PAS 8621 (non-key locking on the internal face),eight per cent
accommodation,net absorber area,"PAS 10621 (non-key locking on the internal face, but with an external locking override facility)",0.5 kN/m2
driveway,entrance level,calculated using the measured air permeability,2 metres
kitchen,span,partitioned,half a metre
accommodation premises,Manual control,renovating,A
closing devices,primary energy content,through infiltration,20 millimetres
calculation tool,SEER,Insulated,two persons per square metre
structures,control capabilities,built,25 decibels
balconies,input charge,glazed,"1,200 MJ/m2"
residential building,effective rated output,annual,1.3 seconds
joints,load EER,left open,0.15 dm3/s per m2
passageways,calculations,domestic,half
toilet seat,indoor and outdoor conditions,given off by urea formaldehyde foams,20 degrees Celsius
cleanouts,power input from controls,common,0.8 metres
garage,indoor units,electrical,56 metres
measurements,output,undergoes a major renovation,850 millimetres
ramp,manufacturers declared efficiencies,On-site,2.0 m3/(h m2)
extract air,load,technical,15
washrooms,air distribution,built to a minimum standard of total energy performance,55
time switch/programmer,power requirements,environmental,50 m
compartment,sunken area,To reduce the risks to the health of persons in buildings,10 kN
room thermostat,frequency,maximum,70 kN
flooring,Extract,economic,EI 15
handle,means,remaining,EI 30
wet rooms,headroom,waterproofed,44mm
ventilation space or gap,inner surfaces,fire-compartmented,off
entrance door,Length,meets the limiting U-value,2.4m
platform,stairs,approved,200 lux
toilets,step,including any test failures,20 points
stack vent,Level differences,including at the party wall,200 Watts per room
voids,natural light,carried out,50 m2
air,intermediate landing,access to one electric vehicle charge point,55 degrees Celsius
Extinguishing routes,length,suitable for persons with mobility and functional impairment,2.4 metres
appliance,thresholds,centred on the supporting line,400 millimetres
basement storeys,CO2,installed in a minimum of one fifth of the total number of remaining parking spaces,24 degrees Celsius
temperature control,boiler efficiency,reasonably limited,65 degrees Celsius
indoor areas,full width,general,390 millimetres
storey,patterns,appropriately sized for the site and available infrastructure,130 millimetres
air handling units,operation,reasonably draught-proof,32mm
Taps,control function,other than dwellings,15mm
photovoltaic panels,quality of the installation,wet,400-600mm
schools,total supply air flow,reasonably continuous across newly built elements,8.5m2
Handrails,Ventilation,filled,1.501kWhPE/kWh
penetrations,lengths,well fitted,E 15
battery storage,prevailing wind direction,reported to the building control body,0.136kgCO2/kWh
heat sources,design solar load,newly constructed,B
toilet,cross fall,set with the terminal fully open,18 dm3/s
parking,storage capacity,Sufficient,two 
hot water system,capacity,pumped,24 metres
glass,design flow rate,assessed,14 metres
bathrooms,Air permeability,required,21 C
commissioning notice,habitable area,Fixed,7 mg/m3 (6 ppm)
thermostatic room controls,parasitic energy use,replacing,0.06 m2
heat generator,allowance,not be designed to be occupied,120
non-domestic building,above,provided wherever possible,"2,100 millimetres"
Ground floors,away,at a level suitable for a wheelchair user or a seated person,0.35W/(m2K)
water meters,relationship,able to reach and use the controls that summon and direct the lifting device,0.7W/(m2K)
basement,load capacity,so that announcements and conversations can be heard clearly,6mm
device,widened,that is neither too reverberant nor too absorbent,1.2W/(m2K)
cables,extends,employed to achieve,(16.66 8.33 V0.4)/(1000 24)
copy,Unit length,shown to meet an equal level of performance,200 millimetres
shower room,rise between landings,designed to contain printers and photocopiers in substantial use (more than 30 minutes per hour),
building services,Capacities,most suitable means of vertical access,
Background ventilators,internal temperature,located on a facade that is exposed to the prevailing wind,
ventilators,type and quality,Good,
connections,fittings,minimised within the lifting platform to prevent discomfort for people with visual and hearing impairment,
this,glare and reflections,considered when specifying ventilation systems,
thermal elements,installed generation capacity,tested,
sanitary accommodation,water temperature,at a level suitable for wheelchair users,
controlled fitting,energy efficiency,mobility-impaired,
wheelchair users,supports,during use,
construction,number of storeys,preferred,
Purge ventilation,intended purpose,visually,
entrance doors,total extract air flow,acoustically reflective,
bath,total air flow,large enough,
WC/cloakroom,elevation difference,able to reach and use the controls that summon and direct the lifting platform,
boxings,minimum value,designed to avoid the moist air from the wet rooms recirculating to the habitable rooms,
layers,free gap,to allow a wheelchair user or a person pushing a pram to move clear of one door before opening the second door,
window unit,Moisture,allow fresh air into the home,
heat,fire compartmenting requirement,clearly distinguishable against the background,
energy savings,air-tightness,used wherever possible,
space heating system,fire igniting,"not located so that a person, having used the control, needs to move to avoid contact with the door as it opens",
building fabric,water vapour resistance,used for flexible ducting to ensure a good seal,
bathroom,air tightness,capable of extracting at least four air changes per hour per room directly to the outside,
heating,layers,actual,
Ventilation systems,distance of the uppermost floor level from the entry level,continue to operate the fan for at least 15 minutes after the room is vacated,
formaldehyde fumes,distance of the basement storey floor from the entry level,"submitted to the building control body as evidence that the system has been correctly installed, inspected and commissioned",
submission,instantaneous carbon monoxide concentration,capable of continuous operation if required,
fire compartments,pressures,for selecting the high rate of operation,
habitable rooms,directions,required for the purposes of meeting the ventilation standards,
hard water areas,cross-sectional area,inspected to ensure that the following have been achieved,
Extract air,number of occupants,ventilation in each room can be adjusted,
connection,total minimum width,mechanically secured,
electrical output,maximum number of occupants,treated as having one bedroom,
part,protection,adequately sealed to prevent leaks,
living accommodation,standard thickness,provide purge ventilation,
absorption chillers,configuration,reduce pollutants before the office space is occupied or after activities such as painting,
pressure tests,annual percentage of heat,balanced to achieve design air flow rates at each room terminal,
commercial part,fastening points,only a basement,
landing,average carbon monoxide concentration,"fans operating in normal background ventilation mode are not overly noisy, taking into consideration the use and likely background level of noise from other sources",
parking garage,energy savings,Hinged,
boilers,mechanical ventilation,pivot,
resilient layer,"one-hour  A-weighted  equivalent continuous sound level of impulsive, narrow-band or low-frequency noise",not suitable for purge ventilation,
air flows,fire load,apparent,
components,domestic  hot  water cylinder heat loss,prevent the subsequent permeation of any toxic fumes from that material into any part of the building occupied by people,
institutions,reverberation time,at least 500mm apart,
glass structure,fire resistance time requirement,close to an area of sustained and loud noise,
future connection,fire performance,minimise likely wind effects,
light-permeable structure,number of people evacuating,set up to operate without occupant intervention,
opening,fire resistance time,extended into the additional room,
assembly areas,energy  consumption,Continuously running,
load,total combined window area,from inside the dwelling to outside,
system for purge ventilation,sum total,commissioned to provide adequate ventilation,
fan units,floor  plate areas,treated as a single-storey dwelling above ground level,
circulation  piping,annual efficiency of heat recovery from ventilation extract air,commissioned in accordance with an approved procedure,
conservatory,net heating energy demand,Adequate,
gates,topography,available for access to maintain ventilation equipment,
building automation and control system,exposure coefficient,flexible,
basement area,side,avoid draughts,
structural elements,number of persons,full internal diameter is maintained,
hatch,breaking,flow resistance is minimised,
Cable routes,sum,directed,
main doors,inaccuracies,used to insulate the cavity in a cavity wall where there is a continuous barrier which will minimise as far as practicable the passage of fumes to the occupiable parts,
sewerage system,maximum capacity,provided locally to the spaces being served,
light well,axle group load,give off formaldehyde fumes (either when used or later in normal use),
facilities,ending,"at least 1700mm above floor level, to reduce cold draughts",
control,atmosphere,increased,
chairs,vicinity,easy for the occupant to reach,
changing rooms,heat,cannot be achieved through all the terminals,
seats,centre pane U-value,"similar, to allow cross-ventilation",
free space,thermal integrity,from outside to inside the dwelling,
Water pipes,maintained,shut,
timber,cold side,consisting primarily of one storey,
system output,surface temperature,issued by a Notified Body,
heat pump,side edges,made available to the energy assessor and the building control body,
Heat pumps,level with entry,sized,
emitters,Leakage,fully replaced,
envelope,integrity,newly installed,
restrictors,flushing,demonstrated to be more appropriate or effective,
these,installation,flushed in both directions,
multipoint locking system,density,slinky,
unit,projection,"calculated using one of the calculation tools in the approved methodology, used in line with the version policy as stated in the methodology",
fittings,from the top and bottom corners of the door,isolated from the ground array system,
heating circuit,either side,"meets the heating needs of the dwelling, at a maximum flow temperature of 55C or lower",
oil,open outwards,flushed and purged as a separate system,
inhibitor,from the inside face of the wall,improved only if doing so will not cause long-term deterioration of the buildings fabric or fittings,
air pressure test,locations,traditional,
Appliances,surface area,historic,
hold-open devices,"combined dead,imposed and wind loads","signed by a suitably qualified person, detailing how the combined emission factor has been derived",
European Standards,total capital cost,newly created,
smoke control area,selection,estimated using the Standard Assessment Procedure,
lifting platform,termination points,allow the space heating system to operate effectively,
student accommodation,total number,based on a heat gain calculation for the dwelling,
motels,horizontal spacing,"taken at appropriate construction stages for each detail when completed, but prior to closingup works",
covered ways,vertical spacing,Automatic,
Lift door systems,number of wall ties per square metre,"adjustable, using an adjustable damper or other thermostatically controlled method",
ladders,anthracite figure,provided for all direct electric zones of the electric underfloor heating system,
Areas,Geo-location,with an override feature,
Manual controls,compensating measures,Programmable,
porch,measures,they can be commissioned to suitable ventilation rates so that spaces are not significantly over-ventilated,
products,structure,not be sized for more than 120 of the design cooling load,
office,heat emission capacity,not be significantly oversized in most circumstances,
air terminal,agreed level of provision,at least the same as that of the original installation,
Ramps,outputs,gas-fired,
tier,sizes,located and installed subject to the manufacturers guidance,
Duct,insulating performance,local,
sewers,continuity,future,
Controls,Control,used to reduce the volume of water and the pressure difference required from the pumps under part load,
Solid walls,heat gain,selected to meet the full space heating requirement at the design condition chosen for heat loss calculations,
high rate controls,proportion of the cooling load relating to distribution pipework,appropriate to the system,
installation and commissioning checklist,total load,following,
methodology,planned time of use,commissioned to optimise the use of energy for pumping,
situations,total useful floor area,commissioned to ensure that they produce as much electricity as is reasonable in the circumstances,
passenger lift,standards,harmonised,
service building,intended time of use,undertaken on a mixed-use building,
acoustic environment,condition,chemical,
cable duct,service,thermal separation from the existing dwelling,
acoustic design,difference in light reflectance value,for commercial purposes,
text,limits,allowed around the future connection location,
separator or treatment device,calculation of primary energy and CO2 emissions,to install either electric vehicle charge points or cable routes,
wall ties,alongside the leading edge,installing only cable routes,
detrimental physical or chemical substances,Activation,"determined which parking spaces are associated parking spaces for the use of occupants of the dwellings, and which parking spaces are for use by users of the non-residential function of the building",
vehicle barriers,safety features,met by installing charge points in parking spaces that are not within a covered car park,
Biomass heating,time-lapse,carried out on every dwelling,
lobby,entry,to install electric vehicle charge points,
wall surfaces,exit,met by installing a charge point in a parking space that is not within a covered car park,
going,constraints,to install an electric vehicle charge point,
bars and counters,total thickness,other than residential or mixed-use buildings,
refreshment facilities,shallow projecting,not a residential building or a mixed-use building,
Stairs,illuminance,after the major renovation is completed,
door or gate,differences,not a residential building or a mixeduse building,
electrically operated appliance,,protect against scale and corrosion,
petrol,,at least the same extent as in the existing dwelling,
Heating systems,,per detail,
heating circuits,,"carrying out work on an existing system, such as installing or replacing components",
Units,,installed where appropriate,
hot water circuit,,treat the feed water to water heaters and the hot water circuit of combination boilers to reduce lime-scale accumulation,
community heating primary circuit,,taken to improve the energy efficiency of the dwelling,
gas combination boiler,,flushed as one system to remove all debris and purged to remove all air,
photographs,,"enabled to confirm the location, date and time",
screed floors,,"given to the building control body with the design stage dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate calculations",
ground arrays,,installing a complete new or replacement system,
onsite electricity generation and storage,,commissioned to ensure that they use no more fuel and power than is reasonable in the circumstances,
sand,,capable of burning both biomass fuel and fossil fuel,
Photographs,,isolated from the ground heat exchanger such that damage to the internal heat exchanger inside the heat pump is avoided,
protective part,,of the calculations,
electricity generation systems,,based on a weighted average for the two fuels,
test data,,supplemented by an alternative appliance,
community heating systems,,excluded,
District heat networks,,not enclosed,
hotels,,for dua-lfuel appliances,
photovoltaic array,,Under-floor,
integral remote,,intended for intermittent or cyclical operation,
guardrail,,installed over unheated rooms,
hermostatic control,,"wide enough to allow people with buggies, people carrying cases or people on crutches to pass others on the access route",
renewable technology,,it contrasts visually with its surrounding,
Variable volume control systems,,provided on each landing in a location that can be easily seen from the lifting device,
wind turbine,,identifying the floor reached,
residential block of flats,,avoided whenever appropriate,
comfort cooling systems,,potential,
combination boiler,,"able to participate fully in conferences, committee meetings and study groups",
entrance halls,,with hearing impairments,
input charge,,designed to suit ambulant disabled people and those with impaired sight,
"administrative, service and business premises",,about the building,
cooling appliance,,always be provided as an alternative means of vertical access,
room thermostats,,chosen,
heat exchanger,,"move safely and easily to and from the seating area and ancillary accommodation, such as lavatories, dining rooms and bedroom suites",
solar collector,,able to locate suitable seating,
heat pump installations,,"considered, provided its installation does not conflict with requirements for means of escape",
oil and grease separators,,able to use presentation facilities,
image,,between the wall and the floor,
indoor steps,,located at different levels,
commissioning plan,,easily obtained from a reception point or gathered from notice boards and signs,
wheelchair platform stairlift,,separated from the structural floor by a layer of insulation with a thermal resistance of at least 1.25(m2K)/W,
filling alarm,,electrically powered,
lifting device,,clearly visible from the building entrance,
district heat networks,,indicating the location of a lifting device accessible by mobility-impaired people,
gap,,where there is a liftway enclosure,
Corridors,,where there is no liftway enclosure and no floor penetration,
barriers,,"designed to allow adequate time for people, and any assistance dogs, to enter or leave the lift without coming into contact with closing doors",
floor areas,,used as appropriate,
sleeping accommodation,,swing-free,
storm water sewers,,needed for fire control,
grease,,designed for independent use by wheelchair users,
lifting platform controls,,"able to identify the door opening within the wall, as well as the leading edge of the door",
landing call buttons,,with impaired sight,
Ground arrays,,is open,
disabled people,,given to providing an area next to certain seats for an assistance dog to rest,
seating,,being made for an accompanied wheelchair user,
air conditioner,,enclosed,
micro combined heat and power system,,located at 90Â° relative to each other,
room temperature sensor,,between the wall and the ceiling,
dwelling units,,to find their way around,
living quarters,,to appreciate the size of a space they have entered,
space heating systems,,between a solar primary and secondary system,
header pipes,,in contact with the outside of the dwelling,
sludge,,when there is no demand for space heating or hot water the heating appliance and pump are switched off,
those,,appropriately incorporated into a singular control system,
boiler interlock,,available to the same building,
manifolds,,not have a CO2 emission factor for delivered heat to the dwelling which is greater than 0.350kgCO2/kWh,
photograph,,being connected to a new dwelling,
internal stairs,,every 1m2,
multi-stage oilfired boilers,,certified by a notified body,
Extract ventilators,,closed,
toileting facilities,,"an appropriate size for the site, available infrastructure and onsite energy demand",
"Windows, skylights and ventilators",,automatically reduce the room temperature at night or when the room is unoccupied,
Uplighters,,selected to modulate down to the typical heating load,
residential unit,,implemented with a cylinder thermostat and a timing device,
communal room,,Independent,
common space,,independently controlled,
WC accommodation,,designed to accommodate heat meter(s) for each dwelling,
WC compartments,,insulated to limit heat losses to not more than 10W/m2,
public address,,external to the heater,
hearing enhancement,,programmable,
telephone systems,,"calculated using the sum of the thermal resistance of the floor finish and the underlying heated layer, multiplied by 10",
WCs (for women),,located between 800mm and 1100mm from the floor of the lifting platform and at least 400mm from any return wall,
urinals (for men),,located between 900mm and 1100mm from the floor of the landing and at least 500mm from any return wall,
urinal,,"be in no doubt as to the location of glass doors, especially when they are within a glazed screen",
male washrooms,,avoid people being harmed by walking into the door,
WC compartment doors,,held open,
shower rooms,,have a choice of seating location at spectator events,
ceilings,,provided as part of the design,
skylights,,removable,
method,,permanent,
baby changing facilities,,working in cooling mode,
bars,,using the same fuel as the microCHP,
accompanied wheelchair users,,regular,
restaurants,,linked to heater firing and fan speed control,
sink,,integrated in the heater,
radiator,,installed for the heating appliance,
towel rail,,apparent to visually impaired people through the careful choice of colour and material for the door and its surroundings,
disabled person,,estimated using the National Calculation Methodology Modelling Guide,
worktop,,treated separately as a single-storey dwelling above ground level,
oven,,controlled on dedicated circuits that can be switched separately from those for lighting provided for general illuminance,
fridge,,specified and installed according to the manufacturers instructions to ensure the overall performance of the system meets a reasonable standard,
fridge freezer,,"derived for the specific application, including free cooling or heat recovery elements",
appliances,,have the ability to use free cooling or heat recovery,
distribution routes,,fitted with a flue condensing kit where feasible and where the boiler is likely to be able to operate in condensing mode,
retaining rail,,Non-condensing,
stop,,supplied,
supply rate,,be possible,
building complexes,,based on the capacity of the equipment installed in the building,
retail parks,,specified,
sports centres,,heated through a district heat network or community heating system,
patio doors,,"be an appropriate size for the site, available infrastructure and on-site energy demand",
balcony doors,,assessed based on the final installed capacity of the heating or air-conditioning system,
Refreshment facilities,,"used in the calculation, including any that are identical",
public areas,,"be wired so that when there is no demand for space heating or hot water, the heating appliance, if appropriate, and pump are switched off",
telephones,,delivered heat to the building which is greater than 0.350kgCO2/kWh,
terraces,,connected to a new building,
commissioning sheet,,"appropriate for the building, its expected usage and the building services specification",
district cooling schemes,,installed with the aim of maximising its efficiency as installed,
cooling energy,,operating at 45% of its rated output with the other two boilers switched off,
Equipment,,used on a closed loop circuit,
Manual reset,,that provide supply and extract ventilation,
life safety,,essential,
Fans,,automated (with manual override),
electric storage heaters,,fitted with variable speed drives,
Air handling systems,,that are rated at more than 1100W,
Lighting,,fitted with or controlled by an appropriate variable speed controller on any variable volume system,
space heating or airconditioning system,,is rated at more than 750W,
cooling units,,fully modulating burner controls,
electricity generation,,be possible if there is an over-temperature trip,
volume systems,,support the design of the system and the intended use,
speed glandless circulators,,automated,
refrigerant flow (VRF) systems,,provided with controls that ensure that the combined plant operates in its most efficient modes,
Linear interpolation,,Multiple,
motor,,designed based on CIBSEs SLL Lighting Handbook or an equivalent design guide,
water pump,,capable of achieving a specific fan power (SFP) at 25 of design flow rate no greater than the SFP achieved at 100 design flow rate,
Gasfired boilers,,"adjusted automatically, based on the internal air temperature",
Public Health Englands Indoor Air Quality Guidelines,,split into different heating zones and each zone should have separate controls for timing and temperature demand,
heat release,,made up of three equally sized boilers,
Display lighting,,Selected Volatile Organic Compounds (VOCs) in the UK,
Supply temperature control,,"treated as a residential building, as long as the commercial part canrevert to residential use",
sunken,,able to wash or bathe either independently or with assistance from others,
danger,,disabled,
induction loop system,,"include a minimum activity space to accommodate people who use crutches, or otherwise have impaired leg movements",
clothes shops,,fitted with support rails,
cubicles,,"have an emergency release mechanism so that they are capable of being opened outwards, from the outside , in case of emergency",
toilet washroom,,for children,
facility,,low level,
surfaces,,contains both living accommodation and space for commercial purposes,
Air handling units,,to reduce overheating risk in residential buildings,
storage,,at least twice as many,
Timing and temperature demand control,,some,
guarding,,"sufficiently spacious to enable a wheelchair user to transfer to one side of a bed, with or without assistance",
lead boiler,,Wheelchair-accessible,
floor level,,chosen carefully to ensure intelligibility,
Glazing,,meet or exceed the free area of the opening,
Ventilation ductwork,,have a minimum manoeuvring space clear of any door swing,
extension,,"able to approach, transfer to and use the sanitary facilities provided within a building",
on-site electricity generation,,comply with all other parts of the Building Regulations,
Turning circle,,provided via a variable set point with outdoor temperature compensation,
lift door,,"possible for them to use both a urinal, where appropriate, and a washbasin at a lower height than is provided for other users",
extract ventilation,,calculated in the same way as when using CHP for heating,
Rigid ducts,,used in conjunction with onsite CHP or a district heat network or community heating system,
ventilation fans,,"avoided in spaces where visual acuity is critical as they will hamper communication for people with impaired vision, and those who lip read or use sign language",
cooker hood,,repeating,
cooker,,shiny,
background ventilator,,divided into distinct wet and dry areas,
ventilator product,,constructed to meet requirement O1 using passive means as far as reasonably practicable,
form,,accessed by wheelchair users,
properties,,lavatory,
Ventilation intakes,,capable of being opened if a person has collapsed against them while inside the cubicle,
living room accommodation,,operable by people with limited strength or manual dexterity,
open-plan space,,WC cubicle,
building work,,sports,
"fans (including cooker hoods, where they extract to the outside)",,recommended for an individual changing cubicle,
flexible ducts,,the signals may overlap,
exhaust outlets,,adjacent,
Calibration,,fitted with a heat recovery system where technically feasible,
escape routes,,provided in a new or existing building log book,
results,,demonstrates that the residential building passes CIBSEs TM59 assessment of overheating,
building owner,,Instantaneous,
projects,,"made to prevent people moving in or about the building from colliding with open windows, skylights or ventilators",
machine,,"designed, constructed and installed as to be safe for people moving between different levels in or about the building",
jubilee clips,,uninterrupted by cross-gangways,
parking bay,,taken throughout the day,
Rigid connectors,,several,
fan unit,,misleading,
CO2 readings,,snapshot,
exhaust air terminal,,considered to be part of the ventilation provision of a building,
Monitors,,that are part of the building,
noise-attenuating background ventilator,,provided by natural means (e.g. an openable window) ormechanical means (e.g. a fan),
ladder,,within reasonable reach of the occupants,
insulating material,,where provided,
cavity,,Manual,
cavity wall,,positioned at least 500mm away from room occupants,
safety features,,not necessary,
CO2 measurements,,Special,
mould,,tapered,
centralised system,,made to prevent,
intermittent extract fan,,with typical moisture generation,
Insulating materials,,lockable in both horizontal and vertical sewers,
Intermittent extract fans,,pass between the upper edge of the barrier and the protective part,
supply terminals,,located separate from one another,
heat recovery systems,,identifiable,
Rooms,,reserved in front of and behind a door located in an exit route,
commissioning manager,,continue onto the intermediate landing without interruption,
access areas,,end up in the sewerage system or network or in the environment,
ducted systems,,not be slippery,
acentral system,,easy to handle,
strategy,,which slides or opens upwards,
Test data,,accessed by children,
power socket,,pass between the stair steps,
installation,,"equipped with an appropriate safety barrier, railing or handrail",
Door entry controls,,condensation insulation,
ground level,,from trapping any person,
projecting corner,,which is powered,
Lifting devices,,from falling onto any person,
visual and audible indicators,,"used as a broad guide to ventilation within a space, rather than treated as safe thresholds",
principal living area,,properly heated,
Double doors,,given to the building control body of the calculations,
nibs,,second (lower),
leaf,,transparent,
key parts of the accommodation,,made,
private curtilage,,made to ensure a clear view of the space on either side of a swing door or gate,
carport,,given to the owner of the building,
grippable handrail,,provided with barriers where it is necessary to protect people in or about the building from falling,
pitch line of the flight,,connected to a building,
blocks of flats,,from the pitch line of the steps (or the surface of the ramp) to the top of the second (lower) handrail,
justification,,full-height structural,
Air pressure tests,,be safely accessible for cleaning,
"technically, functionally and economically feasible measures",,designed as a ramp,
system and its electrical output,,steeper,
extract fan,,be shielded or protected from impact,
ductwork leakage tests,,resist impact without breaking,
Requirements,,break in a way which is unlikely to cause injury,
improvement works,,broken on impact,
principal works,,with which people are likely to come into contact whilst moving in or about the building,
gangways,,translucent,
conservation of fuel and power,,which can be opened by people in or about the building,
design solar load,,no visible,
g-value,,assessed on a case-by-case basis by the building control body,
flights,,fitted,
sloping surfaces,,noise attenuating,
galleries,,close to an area of sustained and loud noise (e.g. a main road),
Gangways,,except in doorways,
raked auditoria,,all,
tiered terraces,,that contain flats,
Remedial work,,unless used by not more than 50 persons,
substantial proportion,,to prevent doors and gates falling if the suspension system fails or the rollers leave the track,
control system,,"constructed or equipped that they may be opened, closed or adjusted safely",
adjoining rooms,,to prevent them coming off the end of the track,
basins,,other effective,
requirements,,sliding,
washing facilities,,in the absence of tobacco smoke or other excessive pollutants,
swimming pools,,made for powered doors and gates to be opened in the event of a power failure,
evacuation areas,,allow fresh air into the building,
cleaning spaces,,sufficient to ensure that changes in the use of the room or space throughout the day are represented in the readings,
Fire,,Standard,
snow load,,at 11pm,
outside space,,correct,
Snow,,providing fixed building services,
rain-water,,taken as their area on plan,
buildings ,,no worse than 0.3,
balcony slab,,commissioned by testing and adjusting as necessary to ensure that it produces the maximum electricity that is reasonable in the circumstances,
balcony,,reasonable,
sealing parts,,on-site electricity generation is installed,
foundation,,commissioned by testing and adjusting as necessary to ensure they use no more fuel and power than is reasonable in the circumstances,
drainage water,,energy efficient to a reasonable standard,
dwelling unit,,"from pipes, ducts and vessels used for space heating, space cooling and hot water services",
handrails,,"gain access to; and (b) use, the dwelling and its facilities",
dry riser,,through thermal elements and other parts of the building fabric,
extract ventilation system,,limiting heat gains and losses,
supply and extract ventilation system,,consequential,
saunas,,"safe and convenient for everyone, including older and disabled people and some wheelchair users",
